arm,n,val_mode,lr_factor,dataset,auroc,auroc_sd,accuracy,tpr_at_fpr,n_dev_fit,n_dev_val,n_seeds
gptoss120b,8,mixed,0.1,eval_balanced_refusal,0.8425,0.0179,0.78,0.4883,24,8,3
gptoss120b,8,mixed,0.1,eval_daily_dilemmas,0.9603,0.0053,0.8861,0.3027,24,8,3
gptoss120b,8,mixed,0.1,mean,0.884,0.0102,0.8112,0.3804,24,8,3
gptoss120b,8,mixed,1.0,eval_ai_dilemmas,0.9979,0.0014,0.9534,0.9461,24,8,3
gptoss120b,8,mixed,1.0,eval_ant_hh,0.7357,0.0293,0.6816,0.0,24,8,3
gptoss120b,8,mixed,1.0,eval_balanced_refusal,0.8605,0.0529,0.7925,0.2333,24,8,3
gptoss120b,8,mixed,1.0,eval_daily_dilemmas,0.9731,0.0085,0.8895,0.6361,24,8,3
gptoss120b,8,mixed,1.0,mean,0.8918,0.0084,0.8292,0.4539,24,8,3
gptoss120b,16,dev,0.1,eval_ai_dilemmas,0.9982,0.0012,0.9779,0.6373,49,15,3
gptoss120b,16,dev,0.1,eval_ant_hh,0.7519,0.0088,0.7015,0.0,49,15,3
gptoss120b,16,dev,0.1,eval_balanced_refusal,0.897,0.0188,0.825,0.6067,49,15,3
gptoss120b,16,dev,0.1,eval_daily_dilemmas,0.981,0.0034,0.9473,0.0,49,15,3
gptoss120b,16,dev,0.1,mean,0.907,0.0065,0.8629,0.311,49,15,3
gptoss120b,16,dev,1.0,eval_ai_dilemmas,0.9999,0.0001,0.9853,0.6569,49,15,3
gptoss120b,16,dev,1.0,eval_ant_hh,0.7288,0.0196,0.6692,0.0,49,15,3
gptoss120b,16,dev,1.0,eval_balanced_refusal,0.9456,0.0205,0.8725,0.7817,49,15,3
gptoss120b,16,dev,1.0,eval_daily_dilemmas,0.9873,0.0016,0.9592,0.5646,49,15,3
gptoss120b,16,dev,1.0,mean,0.9154,0.0074,0.8715,0.5008,49,15,3
gptoss120b,16,mixed,0.1,eval_ai_dilemmas,0.9979,0.0017,0.9779,0.3186,49,15,3
gptoss120b,16,mixed,0.1,eval_ant_hh,0.7522,0.0078,0.7015,0.0,49,15,3
gptoss120b,16,mixed,0.1,eval_balanced_refusal,0.8945,0.0253,0.8233,0.6,49,15,3
gptoss120b,16,mixed,0.1,eval_daily_dilemmas,0.9807,0.0032,0.9456,0.0,49,15,3
gptoss120b,16,mixed,0.1,mean,0.9063,0.0083,0.8621,0.2297,49,15,3
gptoss120b,16,mixed,1.0,eval_ai_dilemmas,0.9999,0.0001,0.9828,0.6569,49,15,3
gptoss120b,16,mixed,1.0,eval_ant_hh,0.7286,0.0189,0.6766,0.0,49,15,3
gptoss120b,16,mixed,1.0,eval_balanced_refusal,0.9458,0.0199,0.8758,0.7817,49,15,3
gptoss120b,16,mixed,1.0,eval_daily_dilemmas,0.9873,0.0016,0.9592,0.568,49,15,3
gptoss120b,16,mixed,1.0,mean,0.9154,0.007,0.8736,0.5016,49,15,3
gptoss120b,30,dev,0.1,eval_ai_dilemmas,0.9978,0.0004,0.9755,0.5833,94,26,3
gptoss120b,30,dev,0.1,eval_ant_hh,0.778,0.0124,0.7139,0.0,94,26,3
gptoss120b,30,dev,0.1,eval_balanced_refusal,0.8981,0.0202,0.8175,0.6,94,26,3
gptoss120b,30,dev,0.1,eval_daily_dilemmas,0.9841,0.0023,0.9507,0.4796,94,26,3
gptoss120b,30,dev,0.1,mean,0.9145,0.0028,0.8644,0.4157,94,26,3
gptoss120b,30,dev,1.0,eval_ai_dilemmas,0.9986,0.0018,0.9755,0.6373,94,26,3
gptoss120b,30,dev,1.0,eval_ant_hh,0.7922,0.015,0.7214,0.0,94,26,3
gptoss120b,30,dev,1.0,eval_balanced_refusal,0.9135,0.0222,0.8233,0.515,94,26,3
gptoss120b,30,dev,1.0,eval_daily_dilemmas,0.9848,0.0003,0.9439,0.2619,94,26,3
gptoss120b,30,dev,1.0,mean,0.9223,0.0078,0.866,0.3535,94,26,3
gptoss120b,30,mixed,0.1,eval_ai_dilemmas,0.9978,0.0004,0.9755,0.5833,94,26,3
gptoss120b,30,mixed,0.1,eval_ant_hh,0.7783,0.0126,0.7114,0.0,94,26,3
gptoss120b,30,mixed,0.1,eval_balanced_refusal,0.8983,0.023,0.8167,0.6083,94,26,3
gptoss120b,30,mixed,0.1,eval_daily_dilemmas,0.9841,0.0022,0.9507,0.4796,94,26,3
gptoss120b,30,mixed,0.1,mean,0.9146,0.0036,0.8636,0.4178,94,26,3
gptoss120b,30,mixed,1.0,eval_ai_dilemmas,0.9986,0.0018,0.9755,0.6373,94,26,3
gptoss120b,30,mixed,1.0,eval_ant_hh,0.7925,0.0147,0.7214,0.0,94,26,3
gptoss120b,30,mixed,1.0,eval_balanced_refusal,0.9138,0.0225,0.8242,0.515,94,26,3
gptoss120b,30,mixed,1.0,eval_daily_dilemmas,0.9848,0.0003,0.9439,0.2619,94,26,3
gptoss120b,30,mixed,1.0,mean,0.9224,0.0079,0.8662,0.3535,94,26,3
