concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
hu_harm,gptoss120b,3,562,10,eval_ai_dilemmas,pipeline,0.5051794982698962,0.008098311331501434,0.4894031141868512,0.5182742214532872
hu_harm,gptoss120b,3,562,10,eval_ai_dilemmas,rank,0.5042603806228374,0.00485032638421643,0.49383650519031147,0.5100562283737025
hu_harm,gptoss120b,3,562,10,eval_ant_hh,pipeline,0.8488638895076855,0.005273571511706767,0.8384940966807752,0.8575406549342839
hu_harm,gptoss120b,3,562,10,eval_ant_hh,rank,0.8590888839385163,0.007623855944398828,0.8450657161951437,0.8689017598574293
hu_harm,gptoss120b,3,562,10,eval_balanced_refusal,pipeline,0.42986,0.007065958592670448,0.4214,0.4441125
hu_harm,gptoss120b,3,562,10,eval_balanced_refusal,rank,0.4129474999999999,0.0039250964248594535,0.4043,0.41835
hu_harm,gptoss120b,3,562,10,eval_daily_dilemmas,pipeline,0.4994637650978758,0.005173846311509648,0.4932840483132028,0.5087463556851312
hu_harm,gptoss120b,3,562,10,eval_daily_dilemmas,rank,0.49894835485214495,0.005821692760406335,0.4920345689296126,0.5077571845064556
hu_harm,gptoss120b,3,562,10,mean,pipeline,0.5708417882188644,0.0032805039668111053,0.5664824238870434,0.5759417300417974
hu_harm,gptoss120b,3,562,10,mean,rank,0.5688112798533747,0.0036228082655314696,0.5631866921425642,0.573770272968087
instructions,deepseekv4pro,0,0,10,anthropic_harmless_refusal,pipeline,0.44512999999999997,0.18522859330507746,0.15325,0.6699000000000002
instructions,deepseekv4pro,0,0,10,anthropic_harmless_refusal,rank,0.4451650000000001,0.18515174414817465,0.1539,0.6699000000000002
instructions,deepseekv4pro,0,0,10,bbq_substitution,pipeline,0.457935,0.02041033303119879,0.41245000000000004,0.48005000000000003
instructions,deepseekv4pro,0,0,10,bbq_substitution,rank,0.457615,0.019973942052361904,0.41255,0.4799
instructions,deepseekv4pro,0,0,10,hc_context_drift,pipeline,0.43964289510043575,0.029423350027088808,0.3805930492082049,0.4753958975449038
instructions,deepseekv4pro,0,0,10,hc_context_drift,rank,0.43912743118291,0.029224503910644253,0.3804336273780423,0.47497077266447024
instructions,deepseekv4pro,0,0,10,hc_contradiction,pipeline,0.4461799999999999,0.024736951667046148,0.3946,0.47284999999999994
instructions,deepseekv4pro,0,0,10,hc_contradiction,rank,0.44615499999999997,0.024703389893336945,0.39485,0.47350000000000003
instructions,deepseekv4pro,0,0,10,mean,pipeline,0.467173812064806,0.03596209429073403,0.40189743113856186,0.5076507844014816
instructions,deepseekv4pro,0,0,10,mean,rank,0.4670901743623023,0.03596491791373562,0.4019023307028089,0.5075699696800143
instructions,deepseekv4pro,0,0,10,mm_substitution,pipeline,0.43925000000000003,0.041924409490308984,0.38375000000000004,0.51475
instructions,deepseekv4pro,0,0,10,mm_substitution,rank,0.43949000000000005,0.04166115163501311,0.38375,0.5157
instructions,deepseekv4pro,0,0,10,oig_context_drift,pipeline,0.5240886385375704,0.006416216124579173,0.5164735891168031,0.5399617387607609
instructions,deepseekv4pro,0,0,10,oig_context_drift,rank,0.5240886385375705,0.0064401337991965325,0.5164735891168031,0.5400680199808694
instructions,deepseekv4pro,0,0,10,oig_omission,pipeline,0.5179901508156356,0.007835129321131264,0.5061557402277624,0.5301631271160357
instructions,deepseekv4pro,0,0,10,oig_omission,rank,0.5179901508156355,0.007762245638106289,0.5064635272391506,0.5301631271160357
instructions,deepseekv4pro,1,294,10,anthropic_harmless_refusal,pipeline,0.6272900000000001,0.06029230557136718,0.509,0.69355
instructions,deepseekv4pro,1,294,10,anthropic_harmless_refusal,rank,0.6272900000000001,0.06029230557136718,0.509,0.69355
instructions,deepseekv4pro,1,294,10,bbq_substitution,pipeline,0.75571,0.015569196796523868,0.7174,0.7706999999999999
instructions,deepseekv4pro,1,294,10,bbq_substitution,rank,0.75571,0.015569196796523868,0.7174,0.7706999999999999
instructions,deepseekv4pro,1,294,10,hc_context_drift,pipeline,0.5026995429907536,0.004119972149574437,0.49580189180571793,0.509140184929323
instructions,deepseekv4pro,1,294,10,hc_context_drift,rank,0.5028005101498565,0.0041197627093885565,0.4959081730258264,0.5091933255393771
instructions,deepseekv4pro,1,294,10,hc_contradiction,pipeline,0.501465,0.007451959101098486,0.4909,0.51465
instructions,deepseekv4pro,1,294,10,hc_contradiction,rank,0.5016700000000001,0.007428705584869196,0.49105,0.51475
instructions,deepseekv4pro,1,294,10,mean,pipeline,0.5519181560144757,0.012304480769458887,0.5285361231653586,0.5663931011980543
instructions,deepseekv4pro,1,294,10,mean,rank,0.5519793744617916,0.012302922454688914,0.528644719554759,0.5664713315245665
instructions,deepseekv4pro,1,294,10,mm_substitution,pipeline,0.394965,0.015466559805665336,0.37615,0.41890000000000005
instructions,deepseekv4pro,1,294,10,mm_substitution,rank,0.394965,0.015466559805665336,0.37615,0.41890000000000005
instructions,deepseekv4pro,1,294,10,oig_context_drift,pipeline,0.518216601126581,0.017039829374077914,0.49431395472420026,0.5419810819428207
instructions,deepseekv4pro,1,294,10,oig_context_drift,rank,0.5182006589435647,0.01701250797217953,0.49431395472420026,0.5418748007227123
instructions,deepseekv4pro,1,294,10,oig_omission,pipeline,0.563080947983995,0.004334864371925629,0.5552477685441675,0.5670975684826101
instructions,deepseekv4pro,1,294,10,oig_omission,rank,0.5632194521391198,0.0043659249737324594,0.5552477685441675,0.5672514619883041
instructions,deepseekv4pro,2,542,10,anthropic_harmless_refusal,pipeline,0.39183,0.023351186027456696,0.35645,0.4275
instructions,deepseekv4pro,2,542,10,anthropic_harmless_refusal,rank,0.39183999999999997,0.023354499923283877,0.35645,0.4275
instructions,deepseekv4pro,2,542,10,bbq_substitution,pipeline,0.52712,0.0027015633334135374,0.5236,0.5314500000000001
instructions,deepseekv4pro,2,542,10,bbq_substitution,rank,0.527165,0.002669170699341323,0.5237,0.5314500000000001
instructions,deepseekv4pro,2,542,10,hc_context_drift,pipeline,0.4957328090126475,0.0011940684436863008,0.4942076735040918,0.4977149537676693
instructions,deepseekv4pro,2,542,10,hc_context_drift,rank,0.49572749495164203,0.001105699335064838,0.49431395472420026,0.4975555319375067
instructions,deepseekv4pro,2,542,10,hc_contradiction,pipeline,0.49476999999999993,0.002596172396261695,0.48924999999999996,0.49845
instructions,deepseekv4pro,2,542,10,hc_contradiction,rank,0.49489,0.0025458899339043527,0.48945000000000005,0.49845000000000006
instructions,deepseekv4pro,2,542,10,mean,pipeline,0.48097719541928835,0.0043470033433763815,0.473361397589072,0.4877978635271373
instructions,deepseekv4pro,2,542,10,mean,rank,0.4810201853164693,0.004348866680596656,0.47339666321620705,0.4878032117499635
instructions,deepseekv4pro,2,542,10,mm_substitution,pipeline,0.429235,0.008486952404197355,0.41835,0.4427
instructions,deepseekv4pro,2,542,10,mm_substitution,rank,0.42930999999999997,0.00843859519641088,0.41865,0.44265000000000004
instructions,deepseekv4pro,2,542,10,oig_context_drift,pipeline,0.5187958337761718,0.008209915646045347,0.5039855457540652,0.5315655223721968
instructions,deepseekv4pro,2,542,10,oig_context_drift,rank,0.5187905197151663,0.00820927164168727,0.5039855457540652,0.5315655223721968
instructions,deepseekv4pro,2,542,10,oig_omission,pipeline,0.5093567251461988,0.006188483757839515,0.4992305324715297,0.5184672206832871
instructions,deepseekv4pro,2,542,10,oig_omission,rank,0.5094182825484765,0.0061333850770184375,0.49953831948291777,0.5184672206832871
instructions,deepseekv4pro,3,716,10,anthropic_harmless_refusal,pipeline,0.4038550000000001,0.05533139278725757,0.29844999999999994,0.48469999999999996
instructions,deepseekv4pro,3,716,10,anthropic_harmless_refusal,rank,0.4038500000000001,0.05532533576742015,0.29844999999999994,0.48469999999999996
