concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha_dd_gptoss120b,finetune,1,121,759,72,0.9390432098765431,1,3.4,0.9340469963943002,0.882728326405189,0.4651470588235294,0.996431660899654,0.7784584539986633,0.9761875,0.9851103706788839,finetuned,0.9324845679012346,0.9390432098765431,1.0
hu_ha_dd_gptoss120b,dev_only,1,121,121,72,0.9239969135802469,41,4.7,0.9377215683685519,0.8747745180161617,0.4602205882352941,0.9974048442906575,0.7900423256850079,0.9772875,0.9861516034985424,,,,
hu_ha_dd_gptoss120b,mixed,1,145,783,72,0.9529320987654322,27,15.6,0.9336981689760856,0.892133215226389,0.4501470588235294,0.9969723183391004,0.7836934729338383,0.97365,0.9804768846314036,,,,
hu_ha_dd_gptoss120b,finetune,1,145,783,72,0.9390432098765431,10,4.0,0.9346755475815788,0.8895734151869703,0.21625,0.9965397923875432,0.792715526843395,0.9719375,0.9775093710953769,finetuned,0.9324845679012346,0.9390432098765431,10.0
hu_ha_dd_gptoss120b,dev_only,1,145,145,72,0.8939043209876543,8,4.0,0.9321766735291716,0.8723985191091361,0.4457908163265306,0.9987024221453288,0.7852528402762308,0.9481875,0.996563931695127,,,,
hu_ha_dd_gptoss120b,mixed,1,170,808,72,0.9625771604938271,71,22.5,0.9387355116117908,0.8976866119582161,0.4613235294117647,0.9997837370242215,0.7965025618177769,0.9774499999999999,0.9812057476051645,,,,
hu_ha_dd_gptoss120b,finetune,1,170,808,72,0.9621913580246914,52,6.0,0.9330474075823745,0.8796823318879791,0.21375,0.9958910034602075,0.7695477834707062,0.983775,0.9829758433985838,finetuned,0.9324845679012346,0.9621913580246914,52.0
hu_ha_dd_gptoss120b,dev_only,1,170,170,72,0.9382716049382717,12,4.6,0.94096840011914,0.9016401672609342,0.7008358343337335,0.9995674740484428,0.7780129204722654,0.9949875,0.9913057059558518,,,,
hu_ha_dd_gptoss120b,mixed,1,194,832,72,0.9556327160493828,6,13.5,0.9399096321498835,0.9014714505205068,0.46499999999999997,0.9998918685121106,0.8042993985297394,0.9788749999999999,0.9765722615576843,,,,
hu_ha_dd_gptoss120b,finetune,1,194,832,72,0.9606481481481481,9,4.6,0.9422722852021395,0.8849454408629124,0.22,0.9801038062283737,0.81042548451771,0.9922,0.986359850062474,finetuned,0.9324845679012346,0.9606481481481481,9.0
hu_ha_dd_gptoss120b,dev_only,1,194,194,72,0.9571759259259258,36,6.2,0.9519226429923491,0.90214747092867,0.6871818727490996,0.9981617647058824,0.8229004232568501,0.99475,0.9918783840066638,,,,
hu_ha_dd_gptoss120b,mixed,1,218,856,72,0.9506172839506173,18,16.4,0.9372982446288136,0.8814292321406174,0.215,1.0,0.7978391623969704,0.9705124999999999,0.9808413161182842,,,,
hu_ha_dd_gptoss120b,finetune,1,218,856,72,0.95679012345679,17,5.2,0.9429526460744988,0.8828509500815251,0.7035174069627852,0.9879974048442907,0.8045221652929383,0.987725,0.9915660141607664,finetuned,0.9324845679012346,0.95679012345679,17.0
hu_ha_dd_gptoss120b,dev_only,1,218,218,72,0.9390432098765431,18,5.3,0.9533824910974816,0.894223025030908,0.22704081632653061,0.9993512110726643,0.826464691468033,0.9914624999999999,0.9962515618492295,,,,
hu_ha_dd_gptoss120b,mixed,2,24,662,72,0.8915895061728395,22,14.1,0.9097071519302329,0.8381607232445217,0.40852941176470586,0.9764273356401385,0.747716640677211,0.9378000000000001,0.9768846314035818,,,,
hu_ha_dd_gptoss120b,finetune,2,24,662,72,0.9324845679012346,1,2.5,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,finetuned,0.9324845679012346,0.9324845679012346,1.0
hu_ha_dd_gptoss120b,dev_only,2,24,24,72,0.5246913580246914,1,2.6,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_gptoss120b,mixed,2,48,686,72,0.9212962962962964,48,16.7,0.9189829189447926,0.8640779147479887,0.46147058823529413,0.9950259515570934,0.7346847850300734,0.9614750000000001,0.9847459391920034,,,,
hu_ha_dd_gptoss120b,finetune,2,48,686,72,0.9324845679012346,1,2.7,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,finetuned,0.9324845679012346,0.9324845679012346,1.0
hu_ha_dd_gptoss120b,dev_only,2,48,48,72,0.5246913580246914,1,2.8,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_gptoss120b,mixed,2,73,711,72,0.9328703703703703,25,14.8,0.9199079859989773,0.879541051495225,0.19125,0.9958910034602076,0.7533971931387837,0.9453375,0.985006247396918,,,,
hu_ha_dd_gptoss120b,finetune,2,73,711,72,0.9324845679012346,2,3.0,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,stage1,0.9324845679012346,0.908179012345679,2.0
hu_ha_dd_gptoss120b,dev_only,2,73,73,72,0.908179012345679,20,3.7,0.9254046749030309,0.8498025254878071,0.4391176470588235,0.9898356401384083,0.7433726887948318,0.9833000000000001,0.9851103706788837,,,,
hu_ha_dd_gptoss120b,mixed,2,97,735,72,0.9347993827160493,42,16.9,0.9296367949103572,0.8889297584705524,0.20625,0.9995674740484429,0.7673201158387168,0.964675,0.9869845897542691,,,,
hu_ha_dd_gptoss120b,finetune,2,97,735,72,0.9324845679012346,1,3.3,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,stage1,0.9324845679012346,0.9263117283950618,1.0
hu_ha_dd_gptoss120b,dev_only,2,97,97,72,0.8935185185185185,24,4.1,0.9313627491843156,0.877972196341223,0.4597448979591837,0.9987024221453287,0.7721096012474938,0.9681749999999999,0.9864639733444398,,,,
