concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_anthropic_hh_balanced,auroc_mt_balanced,auroc_mts_balanced,auroc_toolace_balanced,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
highstakes,mixed,0,1431,2323,477,0.9778312998839704,7,77.5,0.9734275974239552,0.9281431814155114,0.5240850674880739,0.9832913608952842,0.992193324854173,0.9951325040562466,0.9230931998901173,,,,
highstakes,finetune,0,1431,2323,477,0.9817253261137091,8,59.1,0.9733447510088585,0.9251373184362364,0.5369411594016819,0.9858703523348834,0.9898140432437174,0.9935100054083288,0.9241846030485044,finetuned,0.892127562322,0.9817253261137091,8.0
highstakes,dev_only,0,1431,1431,477,0.977602756583805,5,58.5,0.9713707348142622,0.9270357872368464,0.5043232207855615,0.98557611101927,0.9910146484803298,0.9972958355868037,0.911596344170645,,,,
highstakes,mixed,1,159,1051,477,0.9576140079462748,10,47.5,0.9389815010813171,0.874468090971411,0.3380611113419818,0.9759856410237981,0.9605335292311741,0.9753921038399135,0.8440147302303825,,,,
highstakes,finetune,1,159,1051,477,0.9552494638022574,24,32.9,0.9201087974323903,0.8666464689972454,0.0,0.9729825827110093,0.9667174685320818,0.9483504597079503,0.7923846787785194,finetuned,0.892127562322,0.9552494638022574,24.0
highstakes,dev_only,1,159,159,477,0.9573327238845328,23,33.0,0.9223784993669335,0.8561694542337351,0.31663489419556073,0.9765415549597853,0.9613558615850182,0.9497025419145484,0.8019140390083822,,,,
highstakes,mixed,1,318,1210,477,0.9693048767624204,5,49.0,0.9564910107436082,0.9003977506971406,0.4193396383529584,0.9801122070165099,0.9747598789526776,0.9878312601406165,0.8832606968646289,,,,
highstakes,finetune,1,318,1210,477,0.9704475932632466,4,33.6,0.958386621054651,0.9089890987658729,0.45182483068537005,0.9814405605589058,0.9801379325468181,0.9791779340183884,0.8927900570944918,finetuned,0.892127562322,0.9704475932632466,4.0
highstakes,dev_only,1,318,318,477,0.9690148025737491,6,34.0,0.9561081328479741,0.8803136653721857,0.4142132425319686,0.9815840874296518,0.9711470988114557,0.987560843699297,0.884140501451492,,,,
highstakes,mixed,1,477,1369,477,0.972319890299216,3,52.7,0.9644513960868971,0.9136004046576731,0.4669120627999045,0.9820553227580159,0.9881693785360292,0.9899945916711737,0.8975862913823699,,,,
highstakes,finetune,1,477,1369,477,0.9726187546148166,4,36.3,0.966680461359052,0.9172986599428155,0.3797105534151235,0.9815876812167126,0.9889752642427964,0.9956733369388859,0.900485563037813,finetuned,0.892127562322,0.9726187546148166,4.0
highstakes,dev_only,1,477,477,477,0.9755546570092472,7,37.2,0.9646690091765351,0.9104621870246659,0.43706885501932435,0.9853112938352175,0.9806094030963554,0.9954029204975663,0.897352419277001,,,,
highstakes,mixed,1,636,1528,477,0.972302310045357,3,55.9,0.9623031759146674,0.9066117132646059,0.4776943096216011,0.9813096119428733,0.9884544537520283,0.9945916711736074,0.8848569667901611,,,,
highstakes,finetune,1,636,1528,477,0.9790619176540909,121,64.2,0.961528931099826,0.9142487306980994,0.3872785096674538,0.9830660753689022,0.9890355686154116,0.987560843699297,0.8864532367156932,finetuned,0.892127562322,0.9790619176540909,121.0
highstakes,dev_only,1,636,636,477,0.9787718434654197,3,40.6,0.9664121502837619,0.9153102429586392,0.47462982463787473,0.9877833701097543,0.9828132538046576,0.9994591671173607,0.8955928101032751,,,,
highstakes,mixed,1,795,1687,477,0.9742976688583384,3,60.2,0.9672259752883876,0.9222382773058415,0.49820852535983456,0.9834620657806783,0.9908118064997149,0.9954029204975663,0.8992271083755912,,,,
highstakes,finetune,1,795,1687,477,0.9798618192046693,3,43.8,0.9679330773643926,0.9209387134724615,0.5087306949295618,0.9825517145958067,0.9896715056357178,0.994862087614927,0.9046470016111189,finetuned,0.892127562322,0.9798618192046693,3.0
highstakes,dev_only,1,795,795,477,0.9767061636370029,7,45.3,0.9629160938293134,0.9230010794358626,0.4936157391816692,0.986400211314679,0.9861080654357266,0.9994591671173607,0.8796969314494874,,,,
highstakes,mixed,1,954,1846,477,0.9757919904363419,3,64.0,0.9713250484011295,0.925774575084731,0.5022206754288627,0.9827352223476056,0.992302969168019,0.9972958355868037,0.9129661665020901,,,,
highstakes,finetune,1,954,1846,477,0.9771456699834745,5,47.1,0.9725242211382483,0.9207829573542862,0.5080114920552877,0.9823443980047294,0.9908721108723302,0.9975662520281232,0.9193141236478108,finetuned,0.892127562322,0.9771456699834745,5.0
highstakes,dev_only,1,954,954,477,0.9808551035476952,5,48.6,0.9676360843940857,0.9162130570067336,0.4739106157163473,0.985592283061044,0.9851651243366519,0.9951325040562465,0.9046544261224005,,,,
