concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha,dev_only,1,73,73,72,0.857253086419753,10,5.2,0.9120674689688945,0.854550077493684,0.6528046218487396,0.9958910034602076,0.7615281799955447,0.9025125,0.9883381924198251,,,,
hu_ha,mixed,1,97,1075,72,0.9286265432098766,27,30.1,0.9190878237505318,0.8635371499346007,0.6112034813925571,0.9832396193771626,0.7606371129427488,0.951425,0.9810495626822157,,,,
hu_ha,finetune,1,97,1075,72,0.9490740740740741,13,5.8,0.9368829628241789,0.884522394778807,0.6821878751500601,0.9989186851211073,0.7874805079082201,0.9745124999999999,0.9866201582673885,finetuned,0.8912037037037037,0.9490740740740741,13.0
hu_ha,dev_only,1,97,97,72,0.8769290123456791,17,6.7,0.9262458912816521,0.866100802261203,0.6573799519807924,0.9980536332179931,0.7839162396970372,0.930875,0.9921386922115785,,,,
hu_ha,mixed,1,121,1099,72,0.9162808641975307,15,28.9,0.924670584778781,0.856202865474548,0.38669117647058826,0.9912413494809689,0.7697705502339051,0.9567249999999999,0.9809454394002498,,,,
hu_ha,finetune,1,121,1099,72,0.9544753086419753,7,6.7,0.9472750347156296,0.901429209743599,0.2225,0.9984861591695502,0.8224548897304523,0.9849749999999999,0.9831840899625157,finetuned,0.8912037037037037,0.9544753086419753,7.0
hu_ha,dev_only,1,121,121,72,0.9239969135802469,41,6.6,0.9377215683685519,0.8747745180161617,0.4602205882352941,0.9974048442906575,0.7900423256850079,0.9772875,0.9861516034985424,,,,
hu_ha,mixed,1,145,1123,72,0.9309413580246914,14,28.6,0.9451152344053375,0.8858796652989555,0.22125,0.9805363321799307,0.8335932278903988,0.9816375,0.9846938775510203,,,,
hu_ha,finetune,1,145,1123,72,0.9243827160493827,6,6.0,0.9467397580091371,0.9033895199870993,0.4432397959183674,0.9961072664359862,0.8275785252840278,0.97405,0.9892232403165347,finetuned,0.8912037037037037,0.9243827160493827,6.0
hu_ha,dev_only,1,145,145,72,0.8939043209876543,8,6.0,0.9321766735291716,0.8723985191091361,0.4457908163265306,0.9987024221453288,0.7852528402762308,0.9481875,0.996563931695127,,,,
hu_ha,mixed,1,170,1148,72,0.9614197530864198,24,32.0,0.9552549501303195,0.8971384449302109,0.4495918367346939,0.995674740484429,0.8359322789039876,0.9950874999999999,0.9943252811328612,,,,
hu_ha,finetune,1,170,1148,72,0.9564043209876544,16,8.0,0.9435397503870226,0.8989390868287614,0.225,0.9993512110726644,0.7955001113833815,0.9977374999999999,0.981570179092045,finetuned,0.8912037037037037,0.9564043209876544,16.0
hu_ha,dev_only,1,170,170,72,0.9382716049382717,12,6.8,0.94096840011914,0.9016401672609342,0.7008358343337335,0.9995674740484428,0.7780129204722654,0.9949875,0.9913057059558518,,,,
hu_ha,mixed,1,194,1172,72,0.9398148148148148,5,26.4,0.9514576508209548,0.8945325518267009,0.4432908163265306,0.9948096885813148,0.8284695923368234,0.990725,0.9918263223656809,,,,
hu_ha,finetune,1,194,1172,72,0.9606481481481481,16,7.9,0.9451617795695553,0.8921537980863987,0.4758928571428571,0.997621107266436,0.794386277567387,0.999,0.9896397334443982,finetuned,0.8912037037037037,0.9606481481481481,16.0
hu_ha,dev_only,1,194,194,72,0.9571759259259258,36,9.8,0.9519226429923491,0.90214747092867,0.6871818727490996,0.9981617647058824,0.8229004232568501,0.99475,0.9918783840066638,,,,
hu_ha,mixed,1,218,1196,72,0.9197530864197531,10,28.1,0.9401374345699401,0.8722391307269177,0.6410849339735895,0.9881055363321799,0.8034083314769437,0.9801249999999999,0.9889108704706372,,,,
hu_ha,finetune,1,218,1196,72,0.9552469135802469,8,7.2,0.9444393780612409,0.8928136366486894,0.4721938775510204,0.9967560553633218,0.7895967921586099,0.9975999999999999,0.993804664723032,finetuned,0.8912037037037037,0.9552469135802469,8.0
hu_ha,dev_only,1,218,218,72,0.9390432098765431,18,7.9,0.9533824910974816,0.894223025030908,0.22704081632653061,0.9993512110726643,0.826464691468033,0.9914624999999999,0.9962515618492295,,,,
