samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,500,5,250,250,550,0.62462,0.68097,0.25692,0.46194,0.70845,0.8218,0.88884,0.59963,0.63477,0.3316,0.7551,0.72829,0.81895,0.9279,0.61356,0.59141,28.2
instructions_gptoss_600.jsonl,500,6,250,250,550,0.61954,0.69123,0.32483,0.40311,0.70386,0.79455,0.83737,0.67539,0.59766,0.4136,0.7993,0.7276,0.81385,0.8978,0.62642,0.56002,28.3
instructions_gptoss_600.jsonl,500,7,250,250,550,0.61677,0.67477,0.42863,0.37284,0.84803,0.68469,0.74005,0.60836,0.63477,0.5315,0.68615,0.90217,0.66015,0.8018,0.58944,0.55217,27.6
instructions_nemotron_600.jsonl,100,0,50,50,150,0.59817,0.66512,0.65225,0.40311,0.61341,0.56228,0.70718,0.7236,0.52539,0.6504,0.7187,0.67781,0.5796,0.80685,0.64449,0.57802,18.4
instructions_nemotron_600.jsonl,100,1,50,50,150,0.62082,0.69537,0.67301,0.38279,0.61249,0.6276,0.7673,0.67906,0.60352,0.7378,0.805,0.66628,0.6071,0.87205,0.58811,0.59126,17.9
instructions_nemotron_600.jsonl,100,2,50,50,150,0.69464,0.72305,0.71626,0.49048,0.75528,0.73616,0.71972,0.83517,0.60938,0.74465,0.75035,0.75428,0.69595,0.82175,0.70114,0.59326,18.5
instructions_nemotron_600.jsonl,100,3,50,50,150,0.73652,0.79071,0.72318,0.49957,0.74793,0.84299,0.84948,0.79522,0.69727,0.72865,0.89435,0.78122,0.83665,0.9151,0.71495,0.66405,18.6
instructions_nemotron_600.jsonl,100,4,50,50,150,0.7184,0.77004,0.54758,0.61289,0.77916,0.86159,0.80493,0.75666,0.66602,0.5242,0.92455,0.82049,0.8293,0.86675,0.70167,0.7233,18.6
instructions_nemotron_600.jsonl,100,5,50,50,150,0.73611,0.77994,0.76384,0.54282,0.77778,0.8551,0.81531,0.80028,0.59766,0.7199,0.84585,0.81884,0.8128,0.8843,0.68891,0.68898,18.0
instructions_nemotron_600.jsonl,100,6,50,50,150,0.69641,0.73287,0.67344,0.52725,0.82645,0.75995,0.76081,0.75666,0.57031,0.68935,0.75475,0.83463,0.74695,0.8596,0.67446,0.57033,19.5
instructions_nemotron_600.jsonl,100,7,50,50,150,0.73572,0.79643,0.6583,0.5,0.80533,0.88884,0.86462,0.79431,0.63867,0.66585,0.8915,0.82522,0.89605,0.93315,0.66792,0.69529,20.5
instructions_nemotron_600.jsonl,200,0,100,100,250,0.69517,0.7715,0.73443,0.47318,0.71304,0.79671,0.86116,0.65289,0.63477,0.7847,0.8982,0.76921,0.8093,0.8996,0.59804,0.64143,22.1
instructions_nemotron_600.jsonl,200,1,100,100,250,0.67597,0.7245,0.61375,0.47145,0.79706,0.82483,0.75952,0.70661,0.55859,0.66015,0.71655,0.84159,0.81345,0.83275,0.61239,0.59464,21.3
