samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,2,250,250,550,0.61897,0.67261,0.47535,0.39706,0.83976,0.70588,0.68426,0.63866,0.5918,0.53465,0.6626,0.84276,0.6847,0.8406,0.57434,0.56864,36.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,3,250,250,550,0.56793,0.60347,0.56099,0.33607,0.69743,0.61592,0.62111,0.60101,0.54297,0.57515,0.52245,0.74253,0.6115,0.68475,0.56053,0.52739,30.5
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,4,250,250,550,0.57478,0.6468,0.35683,0.34818,0.69605,0.68988,0.71021,0.63636,0.58594,0.4748,0.62455,0.75066,0.6617,0.8216,0.61888,0.57541,31.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,5,250,250,550,0.5844,0.63795,0.32656,0.39749,0.70478,0.74265,0.7859,0.59045,0.54297,0.407,0.5863,0.74397,0.73735,0.8483,0.5947,0.54801,31.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,6,250,250,550,0.623,0.6918,0.5013,0.38884,0.75298,0.76773,0.68772,0.71166,0.55078,0.578,0.7305,0.77888,0.7945,0.8223,0.59746,0.54094,33.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,7,250,250,550,0.61172,0.6598,0.52206,0.32396,0.84206,0.72448,0.67993,0.62121,0.56836,0.5498,0.65265,0.8392,0.68805,0.78265,0.5584,0.54786,29.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,0,50,50,150,0.54372,0.55734,0.62673,0.49005,0.49862,0.50173,0.58694,0.57071,0.53125,0.6315,0.5725,0.52041,0.4923,0.56785,0.55447,0.56233,27.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,1,50,50,150,0.59254,0.65165,0.64965,0.42561,0.5877,0.58391,0.65874,0.66208,0.58008,0.7153,0.76795,0.66011,0.55295,0.7053,0.5787,0.58126,17.7
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,2,50,50,150,0.59077,0.60365,0.68901,0.60294,0.53398,0.53503,0.56315,0.66437,0.54688,0.7693,0.6437,0.55495,0.5267,0.56245,0.6312,0.53724,18.8
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,3,50,50,150,0.67029,0.73982,0.5519,0.49481,0.73967,0.77984,0.78763,0.71901,0.61914,0.6613,0.8442,0.80705,0.7596,0.84295,0.67148,0.59218,18.5
