samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,1,50,50,150,0.8834,0.87758,1.0,0.61157,0.94041,0.98163,0.99762,0.63856,0.895,0.97912,20.1
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,2,50,50,150,0.9009,0.88981,1.0,0.66942,0.93785,0.99633,0.9987,0.66908,0.91234,0.97912,26.3
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,3,50,50,150,0.90431,0.8901,1.0,0.69112,0.9344,0.99174,0.99665,0.68479,0.89781,0.98115,19.0
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,4,50,50,150,0.90345,0.88771,1.0,0.67665,0.94264,0.99449,0.99686,0.65917,0.91158,0.98324,31.9
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,5,50,50,150,0.89166,0.88364,1.0,0.65599,0.91891,0.99174,0.99708,0.67933,0.87816,0.98001,17.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,6,50,50,150,0.9058,0.8956,1.0,0.68285,0.94676,0.99357,0.99784,0.68245,0.92263,0.97949,17.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,7,50,50,150,0.92076,0.90383,1.0,0.73864,0.94899,0.99541,0.9974,0.71464,0.91921,0.98407,20.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,0,100,100,250,0.91616,0.90185,1.0,0.73967,0.9305,0.99449,0.99935,0.72232,0.90264,0.98308,19.5
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,1,100,100,250,0.92907,0.90268,1.0,0.78202,0.93885,0.99541,0.9974,0.72466,0.90035,0.98829,20.1
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,2,100,100,250,0.90314,0.88907,1.0,0.70145,0.91847,0.99265,0.99643,0.69893,0.87476,0.98615,19.0
