samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_deepseekv4pro_600.jsonl,200,0,100,100,250,0.91711,0.90671,1.0,0.72417,0.94977,0.99449,0.99957,0.72633,0.92178,0.97918,19.5
hu_harm_deepseekv4pro_600.jsonl,200,1,100,100,250,0.90971,0.89597,1.0,0.73554,0.90789,0.99541,0.9947,0.71464,0.88299,0.99157,18.5
hu_harm_deepseekv4pro_600.jsonl,200,2,100,100,250,0.91078,0.89173,1.0,0.73037,0.91735,0.99541,0.99751,0.71141,0.87248,0.98553,24.1
hu_harm_deepseekv4pro_600.jsonl,200,3,100,100,250,0.91807,0.89634,1.0,0.74897,0.92883,0.99449,0.99459,0.71196,0.88943,0.98938,18.7
hu_harm_deepseekv4pro_600.jsonl,200,4,100,100,250,0.91576,0.89639,0.99622,0.73244,0.93807,0.99633,0.99557,0.70517,0.89879,0.98605,19.2
hu_harm_deepseekv4pro_600.jsonl,200,5,100,100,250,0.91192,0.88311,0.99433,0.7469,0.91379,0.99265,0.98843,0.68924,0.8771,0.97767,42.9
hu_harm_deepseekv4pro_600.jsonl,200,6,100,100,250,0.91872,0.89263,1.0,0.75826,0.92214,0.99449,0.99546,0.71865,0.87573,0.98069,28.3
hu_harm_deepseekv4pro_600.jsonl,200,7,100,100,250,0.92763,0.90003,1.0,0.77066,0.93985,1.0,0.99805,0.727,0.88704,0.98803,37.2
hu_harm_deepseekv4pro_600.jsonl,300,0,150,150,350,0.91684,0.89012,1.0,0.75207,0.92036,0.99495,0.99881,0.68334,0.88618,0.99214,21.0
hu_harm_deepseekv4pro_600.jsonl,300,1,150,150,350,0.92217,0.89102,0.99905,0.80372,0.89419,0.99174,0.99351,0.73424,0.84782,0.98849,20.6
hu_harm_deepseekv4pro_600.jsonl,300,2,150,150,350,0.91589,0.88967,0.99811,0.77169,0.89652,0.99725,0.99308,0.71931,0.8568,0.98948,19.8
hu_harm_deepseekv4pro_600.jsonl,300,3,150,150,350,0.91837,0.89661,1.0,0.75723,0.91992,0.99633,0.99827,0.71631,0.88224,0.98964,21.0
hu_harm_deepseekv4pro_600.jsonl,300,4,150,150,350,0.92091,0.89465,0.99905,0.78926,0.89808,0.99725,0.99167,0.72421,0.87194,0.99079,20.5
hu_harm_deepseekv4pro_600.jsonl,300,5,150,150,350,0.92138,0.90082,0.99622,0.76033,0.93172,0.99725,0.99557,0.72221,0.89685,0.98865,21.0
hu_harm_deepseekv4pro_600.jsonl,300,6,150,150,350,0.90921,0.8893,1.0,0.73864,0.90187,0.99633,0.99751,0.70082,0.8686,0.99026,42.0
hu_harm_deepseekv4pro_600.jsonl,300,7,150,150,350,0.92334,0.90267,1.0,0.76343,0.93083,0.99908,0.99935,0.70662,0.91146,0.99323,20.5
hu_harm_deepseekv4pro_600.jsonl,400,0,200,200,450,0.91143,0.89592,0.99811,0.74277,0.90945,0.99541,0.99632,0.72043,0.87408,0.99287,22.9
hu_harm_deepseekv4pro_600.jsonl,400,1,200,200,450,0.91833,0.89063,0.99811,0.7593,0.91958,0.99633,0.9973,0.70261,0.87529,0.98735,26.0
hu_harm_deepseekv4pro_600.jsonl,400,2,200,200,450,0.92484,0.89205,1.0,0.81405,0.89541,0.9899,0.99643,0.73736,0.85429,0.98011,22.6
hu_harm_deepseekv4pro_600.jsonl,400,3,200,200,450,0.92346,0.88672,0.99905,0.79649,0.90198,0.99633,0.99459,0.7074,0.86053,0.98438,23.7
hu_harm_deepseekv4pro_600.jsonl,400,4,200,200,450,0.92594,0.90639,1.0,0.75826,0.94732,0.99816,1.0,0.70116,0.9297,0.99469,27.7
hu_harm_deepseekv4pro_600.jsonl,400,5,200,200,450,0.91122,0.89618,1.0,0.71384,0.93473,0.99633,0.99816,0.70506,0.89238,0.98912,34.5
hu_harm_deepseekv4pro_600.jsonl,400,6,200,200,450,0.92903,0.8918,1.0,0.80785,0.91379,0.99449,0.99654,0.71853,0.86654,0.98558,23.3
hu_harm_deepseekv4pro_600.jsonl,400,7,200,200,450,0.93524,0.90319,1.0,0.79959,0.94319,0.99816,0.99481,0.72555,0.90046,0.99193,53.3
hu_harm_deepseekv4pro_600.jsonl,500,0,250,250,550,0.921,0.90349,1.0,0.73347,0.95055,1.0,0.99892,0.71575,0.91944,0.97985,51.4
hu_harm_deepseekv4pro_600.jsonl,500,1,250,250,550,0.9291,0.90842,1.0,0.77066,0.94665,0.99908,0.99881,0.7172,0.92815,0.98954,26.6
hu_harm_deepseekv4pro_600.jsonl,500,2,250,250,550,0.91756,0.89962,0.99811,0.75207,0.92192,0.99816,0.99676,0.70305,0.90978,0.98891,25.8
hu_harm_deepseekv4pro_600.jsonl,500,3,250,250,550,0.9208,0.89364,1.0,0.75413,0.92905,1.0,0.99903,0.71519,0.87809,0.98225,43.7
hu_harm_deepseekv4pro_600.jsonl,500,4,250,250,550,0.92888,0.90884,1.0,0.76653,0.94899,1.0,0.99827,0.72377,0.93247,0.98084,41.4
hu_harm_deepseekv4pro_600.jsonl,500,5,250,250,550,0.92787,0.89899,1.0,0.78409,0.93016,0.99725,0.99535,0.72722,0.88536,0.98803,28.2
hu_harm_deepseekv4pro_600.jsonl,500,6,250,250,550,0.90486,0.88707,1.0,0.7314,0.8963,0.99174,0.99665,0.70294,0.85953,0.98917,60.3
hu_harm_deepseekv4pro_600.jsonl,500,7,250,250,550,0.90293,0.88805,1.0,0.70868,0.90488,0.99816,0.99924,0.70049,0.88278,0.9697,25.0
