combo,draw,n_kept,n_pool,dataset,auroc,accuracy,tpr_at_fpr,fpr
combo_desc,3,653,726,mt_balanced,0.9050918819350029,0.7980132450331126,0.4602649006622517,0.01
combo_desc,3,653,726,mts_balanced,0.9291508923742563,0.8023255813953488,0.0,0.01
combo_desc,3,653,726,toolace_balanced,0.8066471649503671,0.5708446866485014,0.09809264305177112,0.01
combo_desc,3,653,726,mean,0.8917150429803501,0.7158019104408224,0.21968321970866656,0.01
combo_desc,4,653,726,anthropic_hh_balanced,0.9119708597776165,0.7550268096514745,0.23458445040214476,0.01
combo_desc,4,653,726,mt_balanced,0.9055688347002323,0.8261589403973509,0.0,0.01
combo_desc,4,653,726,mts_balanced,0.9356408869659274,0.8604651162790697,0.0,0.01
combo_desc,4,653,726,toolace_balanced,0.8305689402995047,0.6294277929155313,0.0,0.01
combo_desc,4,653,726,mean,0.8959373804358202,0.7677696648108565,0.05864611260053619,0.01
combo_desc,5,653,726,anthropic_hh_balanced,0.9037491734289761,0.6900134048257373,0.18029490616621985,0.01
combo_desc,5,653,726,mt_balanced,0.8965670365334854,0.8129139072847682,0.4205298013245033,0.01
combo_desc,5,653,726,mts_balanced,0.965386695511087,0.8372093023255814,0.0,0.01
combo_desc,5,653,726,toolace_balanced,0.8287759208250118,0.611716621253406,0.21525885558583105,0.01
combo_desc,5,653,726,mean,0.8986197065746402,0.7379633089223733,0.20402089076913854,0.01
combo_desc,6,653,726,anthropic_hh_balanced,0.9049092928145822,0.703083109919571,0.19906166219839141,0.01
combo_desc,6,653,726,mt_balanced,0.9020547344414718,0.7980132450331126,0.0,0.01
combo_desc,6,653,726,mts_balanced,0.9096809085992429,0.7906976744186046,0.0,0.01
combo_desc,6,653,726,toolace_balanced,0.776158409372703,0.5831062670299727,0.14986376021798364,0.01
combo_desc,6,653,726,mean,0.873200836307,0.7187250741003153,0.08723135560409376,0.01
combo_desc,7,653,726,anthropic_hh_balanced,0.9052888865728929,0.6880026809651475,0.22989276139410186,0.01
combo_desc,7,653,726,mt_balanced,0.8736129994298495,0.8029801324503312,0.38079470198675497,0.01
combo_desc,7,653,726,mts_balanced,0.9359113034072472,0.8372093023255814,0.0,0.01
combo_desc,7,653,726,toolace_balanced,0.812750113223797,0.5735694822888283,0.06267029972752043,0.01
combo_desc,7,653,726,mean,0.8818908256584466,0.7254403995074722,0.1683394407770943,0.01
combo_att,0,706,784,anthropic_hh_balanced,0.9201343716982081,0.7272117962466488,0.2540214477211796,0.01
combo_att,0,706,784,mt_balanced,0.8951197315907197,0.8211920529801324,0.0,0.01
combo_att,0,706,784,mts_balanced,0.9440237966468361,0.7558139534883721,0.0,0.01
combo_att,0,706,784,toolace_balanced,0.7655784807965016,0.5803814713896458,0.08719346049046321,0.01
combo_att,0,706,784,mean,0.8812140951830665,0.7211498185261997,0.08530372705291071,0.01
combo_att,1,706,784,anthropic_hh_balanced,0.928702633886537,0.789544235924933,0.42359249329758714,0.01
combo_att,1,706,784,mt_balanced,0.8702578834261656,0.7599337748344371,0.0,0.01
combo_att,1,706,784,mts_balanced,0.9118442401297999,0.7790697674418605,0.0,0.01
combo_att,1,706,784,toolace_balanced,0.6979151972321422,0.5803814713896458,0.051771117166212535,0.01
combo_att,1,706,784,mean,0.8521799886686612,0.7272323123977191,0.11884090261594991,0.01
combo_att,2,706,784,anthropic_hh_balanced,0.9405369746781764,0.7841823056300268,0.3987935656836461,0.01
combo_att,2,706,784,mt_balanced,0.894566027805798,0.8145695364238411,0.0,0.01
combo_att,2,706,784,mts_balanced,0.9342888047593294,0.813953488372093,0.0,0.01
combo_att,2,706,784,toolace_balanced,0.7719746972655525,0.5735694822888283,0.12534059945504086,0.01
combo_att,2,706,784,mean,0.8853416261272141,0.7465687031786974,0.13103354128467173,0.01
combo_att,3,706,784,anthropic_hh_balanced,0.9245551790065335,0.7201742627345844,0.282171581769437,0.01
combo_att,3,706,784,mt_balanced,0.8700660058769352,0.7847682119205298,0.0,0.01
combo_att,3,706,784,mts_balanced,0.9286100594916171,0.7906976744186046,0.0,0.01
combo_att,3,706,784,toolace_balanced,0.7358358886026326,0.5899182561307902,0.11444141689373297,0.01
combo_att,3,706,784,mean,0.8647667832444296,0.7213896013011273,0.0991532496657925,0.01
combo_att,4,706,784,anthropic_hh_balanced,0.9478406730444409,0.828083109919571,0.4886058981233244,0.01
combo_att,4,706,784,mt_balanced,0.891046445331345,0.7698675496688742,0.0,0.01
combo_att,4,706,784,mts_balanced,0.902920497566252,0.7441860465116279,0.0,0.01
combo_att,4,706,784,toolace_balanced,0.7354720875498371,0.5722070844686649,0.11171662125340599,0.01
combo_att,4,706,784,mean,0.8693199258729687,0.7285859476421845,0.1500806298441826,0.01
combo_att,5,706,784,anthropic_hh_balanced,0.9337355080536768,0.7530160857908847,0.40281501340482573,0.01
combo_att,5,706,784,mt_balanced,0.8935573001184158,0.7748344370860927,0.0,0.01
combo_att,5,706,784,mts_balanced,0.940508382909681,0.7906976744186046,0.0,0.01
combo_att,5,706,784,toolace_balanced,0.7619256212459814,0.5354223433242506,0.035422343324250684,0.01
combo_att,5,706,784,mean,0.8824317030819389,0.7134926351549582,0.10955933918226911,0.01
combo_att,6,706,784,anthropic_hh_balanced,0.9468779873354944,0.8213806970509383,0.48056300268096513,0.01
combo_att,6,706,784,mt_balanced,0.8866990482873557,0.7748344370860927,0.0,0.01
combo_att,6,706,784,mts_balanced,0.9253650621957815,0.813953488372093,0.0,0.01
combo_att,6,706,784,toolace_balanced,0.7388428156716584,0.5831062670299727,0.1008174386920981,0.01
combo_att,6,706,784,mean,0.8744462283725725,0.7483187223847741,0.1453451103432658,0.01
combo_att,7,706,784,anthropic_hh_balanced,0.9449737294165846,0.8076407506702413,0.39544235924932974,0.01
combo_att,7,706,784,mt_balanced,0.8992368755756327,0.8062913907284768,0.0,0.01
combo_att,7,706,784,mts_balanced,0.9518658734451055,0.7674418604651163,0.0,0.01
combo_att,7,706,784,toolace_balanced,0.739225178002658,0.5694822888283378,0.04632152588555858,0.01
combo_att,7,706,784,mean,0.8838254141099953,0.7377140726730431,0.11044097128372209,0.01
