dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_daily_dilemmas,0.8943669304456476,0.8214285714285714,0.0,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.8216041454317549,0.70886460554371,0.11625,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7174524221453287,0.5,0.0,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
eval_ant_hh,0.7823568723546447,0.7014925373134329,0.0,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9128,0.805,0.38,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9024364847980008,0.826530612244898,0.3469387755102041,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.8287614448244935,0.7082557873895827,0.181734693877551,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.6758217993079586,0.5,0.0,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
eval_ant_hh,0.7762307863666741,0.7089552238805971,0.0,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.917675,0.82,0.495,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.8876509787588505,0.7908163265306123,0.3265306122448979,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.8143446411083708,0.7049428876028023,0.2053826530612245,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7253460207612457,0.5,0.0,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
eval_ant_hh,0.7650924482067276,0.7089552238805971,0.0,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9253625,0.8225,0.465,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9060807996668054,0.8418367346938775,0.3979591836734694,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.8304704421586947,0.7183229896436186,0.2157397959183673,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
