dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6737673010380623,0.5,0.0,0.01,attention,full_s505,full,736,0,142,505
eval_ant_hh,0.7807975050122522,0.7014925373134329,0.0,0.01,attention,full_s505,full,736,0,142,505
eval_balanced_refusal,0.8947125,0.79,0.375,0.01,attention,full_s505,full,736,0,142,505
eval_daily_dilemmas,0.8749479383590171,0.7959183673469388,0.2448979591836734,0.01,attention,full_s505,full,736,0,142,505
mean,0.8060563111023329,0.696852726165093,0.1549744897959183,0.01,attention,full_s505,full,736,0,142,505
eval_ai_dilemmas,0.6983131487889274,0.5,0.0,0.01,attention,full_s606,full,736,0,142,606
eval_ant_hh,0.7792381376698597,0.7014925373134329,0.0,0.01,attention,full_s606,full,736,0,142,606
eval_balanced_refusal,0.9069125,0.81,0.495,0.01,attention,full_s606,full,736,0,142,606
eval_daily_dilemmas,0.8942107455226989,0.8010204081632653,0.3061224489795918,0.01,attention,full_s606,full,736,0,142,606
mean,0.8196686329953715,0.7031282363691745,0.2002806122448979,0.01,attention,full_s606,full,736,0,142,606
eval_ai_dilemmas,0.6880406574394464,0.5,0.0,0.01,attention,full_s707,full,736,0,142,707
eval_ant_hh,0.7801292047226555,0.7089552238805971,0.0,0.01,attention,full_s707,full,736,0,142,707
eval_balanced_refusal,0.9057625,0.8,0.465,0.01,attention,full_s707,full,736,0,142,707
eval_daily_dilemmas,0.8844231570179092,0.8010204081632653,0.3061224489795918,0.01,attention,full_s707,full,736,0,142,707
mean,0.8145888797950027,0.7024939080109656,0.1927806122448979,0.01,attention,full_s707,full,736,0,142,707
eval_ai_dilemmas,0.7063148788927336,0.5,0.0,0.01,attention,full_s808,full,736,0,142,808
eval_ant_hh,0.7785698373802629,0.6940298507462687,0.0,0.01,attention,full_s808,full,736,0,142,808
eval_balanced_refusal,0.9046,0.805,0.465,0.01,attention,full_s808,full,736,0,142,808
