dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.7748456518563074,0.6813891414774865,0.07875,0.01,linear_then_mean,neardraw_d0_s42,neardraw,662,74,142,42
mean,0.7780506901198128,0.679539651681568,0.1029591836734693,0.01,linear_then_mean,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.782989687857971,0.6825439541488237,0.07875,0.01,linear_then_mean,neardraw_d2_s42,neardraw,662,74,142,42
mean,0.7716255836684853,0.6819189541488238,0.1131632653061224,0.01,linear_then_mean,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.773224631564871,0.6744208802924154,0.0,0.01,linear_then_mean,neardraw_d4_s42,neardraw,662,74,142,42
mean,0.780485124373631,0.6757224494275322,0.0775,0.01,linear_then_mean,neardraw_d5_s42,neardraw,662,74,142,42
mean,0.7752430569861027,0.6718448984071241,0.0,0.01,linear_then_mean,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.7765003794266632,0.6889656720897315,0.0204081632653061,0.01,linear_then_mean,neardraw_d7_s42,neardraw,662,74,142,42
mean,0.7750006556935033,0.680090047212915,0.07375,0.01,linear_then_mean,neardraw_d8_s42,neardraw,662,74,142,42
mean,0.7788005240130358,0.6707175220834602,0.08125,0.01,linear_then_mean,neardraw_d9_s42,neardraw,662,74,142,42
mean,0.7608559457320089,0.7455349191915572,0.135204081632653,0.01,linear_then_rolling_max,far_s101,far,662,74,142,101
mean,0.818062287925605,0.7567409762412428,0.2897838239773521,0.01,linear_then_rolling_max,far_s202,far,662,74,142,202
mean,0.8341592663668687,0.7733668542043683,0.4881122448979592,0.01,linear_then_rolling_max,far_s303,far,662,74,142,303
mean,0.7835477840534677,0.7730987954883446,0.4054141656662665,0.01,linear_then_rolling_max,far_s404,far,662,74,142,404
mean,0.8393097737869597,0.758528191127197,0.4620636836824282,0.01,linear_then_rolling_max,far_s42,far,662,74,142,42
mean,0.7830327048486283,0.7569072405081436,0.2707082833133253,0.01,linear_then_rolling_max,far_s505,far,662,74,142,505
mean,0.8220706408093735,0.784000331475874,0.4312379951980792,0.01,linear_then_rolling_max,far_s606,far,662,74,142,606
mean,0.8335976735203209,0.7665933686907599,0.3592091836734694,0.01,linear_then_rolling_max,far_s707,far,662,74,142,707
mean,0.7858168979477347,0.7606586179247818,0.1556122448979592,0.01,linear_then_rolling_max,far_s808,far,662,74,142,808
mean,0.8108962059124639,0.7748406900073463,0.3027941176470588,0.01,linear_then_rolling_max,far_s909,far,662,74,142,909
mean,0.771970733288344,0.7548819341169304,0.1377551020408163,0.01,linear_then_rolling_max,full_s101,full,736,0,142,101
mean,0.848384298751102,0.777333287792729,0.4803301320528211,0.01,linear_then_rolling_max,full_s202,full,736,0,142,202
mean,0.8339334243427823,0.781416096289262,0.4671053421368547,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
mean,0.7744213348264646,0.7531630189389189,0.2384453781512605,0.01,linear_then_rolling_max,full_s404,full,736,0,142,404
mean,0.809913424571753,0.7715203880059486,0.3004951980792317,0.01,linear_then_rolling_max,full_s42,full,736,0,142,42
mean,0.7707847580896316,0.760093966691154,0.1683673469387755,0.01,linear_then_rolling_max,full_s505,full,736,0,142,505
mean,0.7734809341643629,0.744990850817939,0.1581632653061224,0.01,linear_then_rolling_max,full_s606,full,736,0,142,606
mean,0.799614281387254,0.7708380404400565,0.4563669572306534,0.01,linear_then_rolling_max,full_s707,full,736,0,142,707
mean,0.8194011349300129,0.7654097422551109,0.400421668667467,0.01,linear_then_rolling_max,full_s808,full,736,0,142,808
