arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
combined,3,42,1278,anthropic,0.9612863177338038,0.9629952762343109
combined,3,42,1278,mt,0.9395735210392837,0.9395476424615703
combined,3,42,1278,mts,0.9471202514785018,0.9477329639298845
combined,3,42,1278,toolace,0.7895597858417609,0.7895597858417609
combined,3,42,1278,mean,0.9093849690233375,0.9099589171168816
combined,3,43,1278,anthropic,0.9582980060258294,0.9599880391830309
combined,3,43,1278,mt,0.9504684022566119,0.9500284664354848
combined,3,43,1278,mts,0.9385156374873461,0.9387820342053386
combined,3,43,1278,toolace,0.7863436942296252,0.7863436942296252
combined,3,43,1278,mean,0.9084064349998532,0.90878555851337
combined,3,44,1278,anthropic,0.9601716150130963,0.9619278868718679
combined,3,44,1278,mt,0.9389265565964495,0.93939237099529
combined,3,44,1278,mts,0.9433906974266077,0.9442431669241835
combined,3,44,1278,toolace,0.8046549672813802,0.8046549672813802
combined,3,44,1278,mean,0.9117859590793834,0.9125545980181804
combined,3,45,1278,anthropic,0.9600410301442868,0.9615172069221336
combined,3,45,1278,mt,0.9463795869778997,0.9464054655556131
combined,3,45,1278,mts,0.9289253556396186,0.9286855985934254
combined,3,45,1278,toolace,0.8055472932778108,0.8055472932778107
combined,3,45,1278,mean,0.910223316509904,0.9105388910872457
combined,3,46,1278,anthropic,0.9605293040015748,0.9609021332646974
combined,3,46,1278,mt,0.9465607370218933,0.9470524299984473
combined,3,46,1278,mts,0.9530608982897331,0.9533272950077255
combined,3,46,1278,toolace,0.8145820939916716,0.8145820939916717
combined,3,46,1278,mean,0.9186832583262181,0.9189659880656356
combined,3,47,1278,anthropic,0.9514281064058502,0.9541382155672304
combined,3,47,1278,mt,0.9372703276227939,0.9360799130479789
combined,3,47,1278,mts,0.9240236560285577,0.9235441419361714
combined,3,47,1278,toolace,0.7845032718619869,0.7845032718619869
combined,3,47,1278,mean,0.8993063404797972,0.899566385603342
combined,3,48,1278,anthropic,0.9628722615028238,0.9629309300670714
combined,3,48,1278,mt,0.9535997101599296,0.9533926815382227
combined,3,48,1278,mts,0.9451222760935585,0.9455485108423465
combined,3,48,1278,toolace,0.8078896490184414,0.8078896490184413
combined,3,48,1278,mean,0.9173709741936883,0.9174404428665204
combined,3,49,1278,anthropic,0.9601224091205014,0.9613582340383655
combined,3,49,1278,mt,0.9432224004968687,0.9446198436933906
combined,3,49,1278,mts,0.9355319942458309,0.9354520752304333
combined,3,49,1278,toolace,0.7958618381915527,0.7958618381915528
combined,3,49,1278,mean,0.9086846605136883,0.9093229977884356
combined,3,50,1278,anthropic,0.9596189949885692,0.9598385289709156
combined,3,50,1278,mt,0.9501061021686248,0.9496144091920707
combined,3,50,1278,mts,0.936411103415206,0.9362512653844105
combined,3,50,1278,toolace,0.7971631469363475,0.7971631469363475
combined,3,50,1278,mean,0.9108248368771868,0.910716837620936
combined,3,51,1278,anthropic,0.9613487713667126,0.9638753046980273
combined,3,51,1278,mt,0.9439987578282698,0.944645722271104
combined,3,51,1278,mts,0.9469870531195056,0.9473067291810965
