arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
deepseekv4pro,2,48,262,mt,0.9173179442057864,0.9172920656280731
deepseekv4pro,2,48,262,mts,0.9522350684639566,0.9521551494485588
deepseekv4pro,2,48,262,toolace,0.8256246281975015,0.8256246281975015
deepseekv4pro,2,48,262,mean,0.9144169026088231,0.915177274358481
deepseekv4pro,2,49,262,anthropic,0.9621284955109085,0.9652284667443867
deepseekv4pro,2,49,262,mt,0.9283680968893949,0.9283163397339682
deepseekv4pro,2,49,262,mts,0.9452554744525548,0.9452288347807556
deepseekv4pro,2,49,262,toolace,0.8251784651992862,0.8251784651992862
deepseekv4pro,2,49,262,mean,0.915232633013036,0.9159880266145992
deepseekv4pro,2,50,262,anthropic,0.962472936759073,0.9665513482414572
deepseekv4pro,2,50,262,mt,0.9303089902178976,0.9303089902178976
deepseekv4pro,2,50,262,mts,0.9569769300442219,0.9570302093878204
deepseekv4pro,2,50,262,toolace,0.8108640690065437,0.8108640690065437
deepseekv4pro,2,50,262,mean,0.915155731506934,0.9161886542134297
deepseekv4pro,2,51,262,anthropic,0.9598688095202047,0.9645149813017608
deepseekv4pro,2,51,262,mt,0.9035505408622743,0.9036540551731277
deepseekv4pro,2,51,262,mts,0.9344131280302628,0.9343864883584634
deepseekv4pro,2,51,262,toolace,0.8269817073170732,0.826981707317073
deepseekv4pro,2,51,262,mean,0.9062035464324538,0.9073843080376062
deepseekv4pro,3,42,174,anthropic,0.9444446547260368,0.9452735847628275
deepseekv4pro,3,42,174,mt,0.928445732622535,0.928161068267688
deepseekv4pro,3,42,174,mts,0.9373168522563802,0.9371836538973839
deepseekv4pro,3,42,174,toolace,0.747267251635931,0.747267251635931
deepseekv4pro,3,42,174,mean,0.8893686228102208,0.8894713896409576
deepseekv4pro,3,43,174,anthropic,0.9497115777680206,0.9498383775681691
deepseekv4pro,3,43,174,mt,0.9394182495730035,0.9392112209512965
deepseekv4pro,3,43,174,mts,0.9224252757206032,0.9224785550642016
deepseekv4pro,3,43,174,toolace,0.7762306662700773,0.7762678465199286
deepseekv4pro,3,43,174,mean,0.8969464423329262,0.896949000025899
deepseekv4pro,3,44,174,anthropic,0.9486574361458917,0.948975381913428
deepseekv4pro,3,44,174,mt,0.9440246364059831,0.9449821437813778
deepseekv4pro,3,44,174,mts,0.9403004954978955,0.9404869732004901
deepseekv4pro,3,44,174,toolace,0.770988251041047,0.7710068411659726
deepseekv4pro,3,44,174,mean,0.9009927047727043,0.9013628350153172
deepseekv4pro,3,45,174,anthropic,0.9541874214598254,0.9542139169404534
deepseekv4pro,3,45,174,mt,0.9407380570363854,0.940789814191812
deepseekv4pro,3,45,174,mts,0.9445894826575737,0.9442698065959827
deepseekv4pro,3,45,174,toolace,0.7966983938132064,0.7966983938132064
deepseekv4pro,3,45,174,mean,0.9090533387417477,0.9089929828853636
deepseekv4pro,3,46,174,anthropic,0.9532203364169027,0.9530026949688868
deepseekv4pro,3,46,174,mt,0.9333626623880752,0.9328709694115211
deepseekv4pro,3,46,174,mts,0.9345729660610582,0.9341733709840695
deepseekv4pro,3,46,174,toolace,0.7523237656157049,0.7523423557406305
deepseekv4pro,3,46,174,mean,0.8933699326204352,0.8930973477762769
deepseekv4pro,3,47,174,anthropic,0.942268240245878,0.9425956486850671
deepseekv4pro,3,47,174,mt,0.9289115470213757,0.9294291185756431
deepseekv4pro,3,47,174,mts,0.9270339389418722,0.9269007405828761
deepseekv4pro,3,47,174,toolace,0.7707651695419393,0.7707651695419393
deepseekv4pro,3,47,174,mean,0.8922447239377664,0.8924226693463815
deepseekv4pro,3,48,174,anthropic,0.9466248542748565,0.9468141077079137
deepseekv4pro,3,48,174,mt,0.914548936390456,0.9139537291030485
deepseekv4pro,3,48,174,mts,0.9135009856678565,0.9132612286216635
deepseekv4pro,3,48,174,toolace,0.7784243010113028,0.7784057108863772
deepseekv4pro,3,48,174,mean,0.8882747693361179,0.8881086940797508
deepseekv4pro,3,49,174,anthropic,0.9373230480400914,0.9372340989265544
deepseekv4pro,3,49,174,mt,0.9400393354381243,0.9413850214792195
deepseekv4pro,3,49,174,mts,0.9359049496510202,0.9354787149022323
deepseekv4pro,3,49,174,toolace,0.7674747174301012,0.7674933075550268
