arm,tau,prob_threshold,cohort,rate
gptoss120b,-0.75,0.320821300824607,source_all,0.7051546391752578
gptoss120b,-0.5,0.3775406687981454,source_all,0.711340206185567
gptoss120b,-0.25,0.43782349911420193,source_all,0.7061855670103093
gptoss120b,0.0,0.5,source_all,0.7030927835051546
gptoss120b,0.25,0.5621765008857981,source_all,0.6865979381443299
gptoss120b,0.5,0.6224593312018546,source_all,0.6742268041237114
gptoss120b,0.75,0.679178699175393,source_all,0.6639175257731958
gptoss120b,1.0,0.7310585786300049,source_all,0.6412371134020619
gptoss120b,1.25,0.7772998611746911,source_all,0.6309278350515464
gptoss120b,1.5,0.8175744761936437,source_all,0.5876288659793815
gptoss120b,1.75,0.8519528019683106,source_all,0.5536082474226804
gptoss120b,2.0,0.8807970779778823,source_all,0.5298969072164949
gptoss120b,2.25,0.9046505351008906,source_all,0.5020618556701031
gptoss120b,2.5,0.9241418199787566,source_all,0.47216494845360824
gptoss120b,2.75,0.9399133498259924,source_all,0.4505154639175258
gptoss120b,3.0,0.9525741268224334,source_all,0.42577319587628865
gptoss120b,3.25,0.9626731126558706,source_all,0.4092783505154639
gptoss120b,3.5,0.9706877692486436,source_all,0.38762886597938145
gptoss120b,3.75,0.9770226300899744,source_all,0.37010309278350517
gptoss120b,4.0,0.9820137900379085,source_all,0.3577319587628866
gptoss120b,4.25,0.9859363729567544,source_all,0.34536082474226804
gptoss120b,4.5,0.9890130573694068,source_all,0.33505154639175255
gptoss120b,4.75,0.991422514586288,source_all,0.3247422680412371
gptoss120b,5.0,0.9933071490757153,source_all,0.31443298969072164
gptoss120b,5.25,0.9947798743064417,source_all,0.30412371134020616
gptoss120b,5.5,0.995929862284104,source_all,0.29690721649484536
gptoss120b,5.75,0.9968273171575148,source_all,0.2927835051546392
gptoss120b,6.0,0.9975273768433653,source_all,0.2907216494845361
gptoss120b,6.25,0.9980732653366725,source_all,0.2865979381443299
gptoss120b,6.5,0.998498817743263,source_all,0.28556701030927834
gptoss120b,6.75,0.9988304897349445,source_all,0.2845360824742268
gptoss120b,7.0,0.9990889488055994,source_all,0.2824742268041237
gptoss120b,7.25,0.9992903296008995,source_all,0.2824742268041237
gptoss120b,7.5,0.9994472213630764,source_all,0.2824742268041237
gptoss120b,7.75,0.9995694429186754,source_all,0.2824742268041237
gptoss120b,8.0,0.9996646498695336,source_all,0.2793814432989691
gptoss120b,8.25,0.9997388096809043,source_all,0.2793814432989691
gptoss120b,8.5,0.9997965730219448,source_all,0.27835051546391754
gptoss120b,8.75,0.9998415637808975,source_all,0.27835051546391754
gptoss120b,9.0,0.9998766054240137,source_all,0.2804123711340206
gptoss120b,9.25,0.9999038975845005,source_all,0.28144329896907216
gptoss120b,9.5,0.9999251537724895,source_all,0.28350515463917525
gptoss120b,9.75,0.9999417087343389,source_all,0.2865979381443299
gptoss120b,10.0,0.9999546021312976,source_all,0.2876288659793814
gptoss120b,10.25,0.9999646437492582,source_all,0.28969072164948456
gptoss120b,10.5,0.9999724643088853,source_all,0.2907216494845361
gptoss120b,10.75,0.9999785550515792,source_all,0.2927835051546392
gptoss120b,11.0,0.999983298578152,source_all,0.29381443298969073
gptoss120b,11.25,0.9999869928715335,source_all,0.2948453608247423
gptoss120b,11.5,0.9999898700090192,source_all,0.2958762886597938
gptoss120b,11.75,0.9999921107374138,source_all,0.30103092783505153
gptoss120b,12.0,0.9999938558253978,source_all,0.30412371134020616
gptoss120b,12.25,0.9999952149055051,source_all,0.311340206185567
gptoss120b,12.5,0.9999962733607158,source_all,0.31649484536082473
gptoss120b,12.75,0.9999970976880148,source_all,0.31752577319587627
gptoss120b,13.0,0.999997739675702,source_all,0.31752577319587627
gptoss120b,13.25,0.9999982396567868,source_all,0.31752577319587627
gptoss120b,13.5,0.999998629042793,source_all,0.3185567010309278
gptoss120b,13.75,0.9999989322971299,source_all,0.31958762886597936
gptoss120b,14.0,0.9999991684719722,source_all,0.32268041237113404
gptoss120b,14.25,0.9999993524052017,source_all,0.3237113402061856
gptoss120b,14.5,0.9999994956525918,source_all,0.32577319587628867
gptoss120b,14.75,0.9999996072137998,source_all,0.32783505154639175
gptoss120b,15.0,0.999999694097773,source_all,0.3288659793814433
gptoss120b,15.25,0.9999997617630899,source_all,0.3288659793814433
gptoss120b,15.5,0.9999998144608981,source_all,0.3309278350515464
gptoss120b,15.75,0.9999998555019962,source_all,0.3319587628865979
gptoss120b,16.0,0.9999998874648379,source_all,0.334020618556701
gptoss120b,16.25,0.9999999123575255,source_all,0.33608247422680415
gptoss120b,16.5,0.999999931743971,source_all,0.3371134020618557
gptoss120b,16.75,0.9999999468421502,source_all,0.33814432989690724
gptoss120b,17.0,0.9999999586006244,source_all,0.33814432989690724
gptoss120b,17.25,0.9999999677581336,source_all,0.3391752577319588
gptoss120b,17.5,0.999999974890009,source_all,0.3402061855670103
gptoss120b,17.75,0.9999999804443193,source_all,0.3422680412371134
gptoss120b,18.0,0.9999999847700205,source_all,0.34536082474226804
gptoss120b,18.25,0.99999998813888,source_all,0.3463917525773196
gptoss120b,18.5,0.9999999907625504,source_all,0.3494845360824742
gptoss120b,18.75,0.9999999928058669,source_all,0.3494845360824742
gptoss120b,19.0,0.9999999943972036,source_all,0.3515463917525773
gptoss120b,19.25,0.9999999956365377,source_all,0.35360824742268043
gptoss120b,19.5,0.9999999966017321,source_all,0.35360824742268043
gptoss120b,19.75,0.9999999973534264,source_all,0.35360824742268043
gptoss120b,20.0,0.9999999979388463,source_all,0.35670103092783506
gptoss120b,20.25,0.999999998394772,source_all,0.3577319587628866
gptoss120b,20.5,0.9999999987498471,source_all,0.3597938144329897
gptoss120b,20.75,0.9999999990263799,source_all,0.36391752577319586
gptoss120b,21.0,0.9999999992417439,source_all,0.3680412371134021
gptoss120b,21.25,0.9999999994094697,source_all,0.3680412371134021
gptoss120b,21.5,0.9999999995400946,source_all,0.3711340206185567
gptoss120b,21.75,0.9999999996418252,source_all,0.37216494845360826
gptoss120b,22.0,0.9999999997210531,source_all,0.37216494845360826
gptoss120b,22.25,0.999999999782756,source_all,0.37216494845360826
gptoss120b,22.5,0.9999999998308102,source_all,0.37422680412371134
gptoss120b,22.75,0.999999999868235,source_all,0.3752577319587629
