concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
hu_harm,gptoss120b,3,140,10,eval_ai_dilemmas,pipeline,0.5380190311418686,0.010019302857992659,0.5197880622837371,0.5514705882352942
hu_harm,gptoss120b,3,140,10,eval_ai_dilemmas,rank,0.5390895328719723,0.009866566228236937,0.5201124567474048,0.5514705882352942
hu_harm,gptoss120b,3,140,10,eval_ant_hh,pipeline,0.8275116952550678,0.011057876253885794,0.8075295165961239,0.8438404989975496
hu_harm,gptoss120b,3,140,10,eval_ant_hh,rank,0.8299732679884162,0.011240497078162345,0.8075295165961239,0.8461795500111383
hu_harm,gptoss120b,3,140,10,eval_balanced_refusal,pipeline,0.4184025,0.0032456209815003786,0.4121125,0.4226
hu_harm,gptoss120b,3,140,10,eval_balanced_refusal,rank,0.41207625,0.0043124394118127084,0.40506250000000005,0.4193625000000001
hu_harm,gptoss120b,3,140,10,eval_daily_dilemmas,pipeline,0.5115524781341108,0.004412969271654539,0.5060912119950021,0.5187421907538525
hu_harm,gptoss120b,3,140,10,eval_daily_dilemmas,rank,0.5118023740108287,0.00443533744823476,0.5055185339441899,0.5186380674718867
hu_harm,gptoss120b,3,140,10,mean,pipeline,0.5738714261327619,0.003362294763699896,0.5681040856216759,0.5786270160755278
hu_harm,gptoss120b,3,140,10,mean,rank,0.5732353562178043,0.003095148675423094,0.5685485436037045,0.5770475247450484
instructions,deepseekv4pro,0,0,10,anthropic_harmless_refusal,pipeline,0.44512999999999997,0.18522859330507746,0.15325,0.6699000000000002
instructions,deepseekv4pro,0,0,10,anthropic_harmless_refusal,rank,0.4451650000000001,0.18515174414817465,0.1539,0.6699000000000002
instructions,deepseekv4pro,0,0,10,bbq_substitution,pipeline,0.457935,0.02041033303119879,0.41245000000000004,0.48005000000000003
instructions,deepseekv4pro,0,0,10,bbq_substitution,rank,0.457615,0.019973942052361904,0.41255,0.4799
instructions,deepseekv4pro,0,0,10,hc_context_drift,pipeline,0.43964289510043575,0.029423350027088808,0.3805930492082049,0.4753958975449038
instructions,deepseekv4pro,0,0,10,hc_context_drift,rank,0.43912743118291,0.029224503910644253,0.3804336273780423,0.47497077266447024
instructions,deepseekv4pro,0,0,10,hc_contradiction,pipeline,0.4461799999999999,0.024736951667046148,0.3946,0.47284999999999994
instructions,deepseekv4pro,0,0,10,hc_contradiction,rank,0.44615499999999997,0.024703389893336945,0.39485,0.47350000000000003
