concept,arm,vintage,seed,dataset,n_rows,auroc_pipeline,auroc_rank
instructions,gptoss120b,1,48,hc_contradiction,200,0.4900500000000001,0.49029999999999996
instructions,gptoss120b,1,49,hc_contradiction,200,0.4874,0.48795
instructions,gptoss120b,1,50,hc_contradiction,200,0.47985,0.4799
instructions,gptoss120b,1,51,hc_contradiction,200,0.48005000000000003,0.4806
instructions,gptoss120b,2,42,hc_contradiction,200,0.47339999999999993,0.4723
instructions,gptoss120b,2,43,hc_contradiction,200,0.4555,0.45544999999999997
instructions,gptoss120b,2,44,hc_contradiction,200,0.47919999999999996,0.4794
instructions,gptoss120b,2,45,hc_contradiction,200,0.44899999999999995,0.44945
instructions,gptoss120b,2,46,hc_contradiction,200,0.45180000000000003,0.45185000000000003
instructions,gptoss120b,2,47,hc_contradiction,200,0.4730499999999999,0.47409999999999997
instructions,gptoss120b,2,48,hc_contradiction,200,0.46934999999999993,0.46964999999999996
instructions,gptoss120b,2,49,hc_contradiction,200,0.4726,0.47254999999999997
instructions,gptoss120b,2,50,hc_contradiction,200,0.4589,0.45895
instructions,gptoss120b,2,51,hc_contradiction,200,0.47304999999999997,0.47295
instructions,gptoss120b,3,42,hc_contradiction,200,0.4968,0.4969
instructions,gptoss120b,3,43,hc_contradiction,200,0.4915,0.49215
instructions,gptoss120b,3,44,hc_contradiction,200,0.49785,0.498
instructions,gptoss120b,3,45,hc_contradiction,200,0.49645,0.49735
instructions,gptoss120b,3,46,hc_contradiction,200,0.49979999999999997,0.49965000000000004
instructions,gptoss120b,3,47,hc_contradiction,200,0.49065,0.49119999999999997
instructions,gptoss120b,3,48,hc_contradiction,200,0.49005000000000004,0.4906
instructions,gptoss120b,3,49,hc_contradiction,200,0.49125,0.49185
instructions,gptoss120b,3,50,hc_contradiction,200,0.49570000000000003,0.49655
instructions,gptoss120b,3,51,hc_contradiction,200,0.4938,0.4946
instructions,deepseekv4pro,0,42,mm_substitution,200,0.42985,0.4292
instructions,deepseekv4pro,0,43,mm_substitution,200,0.4507,0.45110000000000006
instructions,deepseekv4pro,0,44,mm_substitution,200,0.47255,0.47175
instructions,deepseekv4pro,0,45,mm_substitution,200,0.4592,0.45904999999999996
instructions,deepseekv4pro,0,46,mm_substitution,200,0.4342,0.43454999999999994
instructions,deepseekv4pro,0,47,mm_substitution,200,0.39180000000000004,0.39505
instructions,deepseekv4pro,0,48,mm_substitution,200,0.51475,0.5157
instructions,deepseekv4pro,0,49,mm_substitution,200,0.39060000000000006,0.39030000000000004
instructions,deepseekv4pro,0,50,mm_substitution,200,0.46509999999999996,0.46445
instructions,deepseekv4pro,0,51,mm_substitution,200,0.38375000000000004,0.38375
instructions,deepseekv4pro,1,42,mm_substitution,200,0.37695,0.37695
instructions,deepseekv4pro,1,43,mm_substitution,200,0.37615,0.37615
instructions,deepseekv4pro,1,44,mm_substitution,200,0.41890000000000005,0.41890000000000005
instructions,deepseekv4pro,1,45,mm_substitution,200,0.40735,0.40735
instructions,deepseekv4pro,1,46,mm_substitution,200,0.3811,0.3811
instructions,deepseekv4pro,1,47,mm_substitution,200,0.3923,0.3923
