arm,sign,iterations,redteam_successes,dataset,auroc,accuracy,tpr_at_fpr,fpr
arm1,positive,0 1 4 6 7 9,180,mts_balanced,0.9369929691725256,0.8837209302325582,0.0,0.01
arm1,positive,0 1 4 6 7 9,180,toolace_balanced,0.8135742339760484,0.5422343324250681,0.19346049046321526,0.01
arm1,positive,0 1 4 6 7 9,180,mean,0.899690272337512,0.7794149515236469,0.22279541752197002,0.01
arm1,negative,2 3 5 8,99,anthropic_hh_balanced,0.9193127421314033,0.7992627345844504,0.35924932975871315,0.01
arm1,negative,2 3 5 8,99,mt_balanced,0.885268189991667,0.7367549668874173,0.11258278145695365,0.01
arm1,negative,2 3 5 8,99,mts_balanced,0.9021092482422931,0.5116279069767442,0.0,0.01
arm1,negative,2 3 5 8,99,toolace_balanced,0.7640713050063479,0.5190735694822888,0.04632152588555858,0.01
arm1,negative,2 3 5 8,99,mean,0.8676903713429278,0.641679794482725,0.12953840927530635,0.01
arm2,positive,0 2 4 8 9,117,anthropic_hh_balanced,0.9216853154266903,0.7845174262734584,0.38337801608579086,0.01
arm2,positive,0 2 4 8 9,117,mt_balanced,0.8941000394719529,0.804635761589404,0.41721854304635764,0.01
arm2,positive,0 2 4 8 9,117,mts_balanced,0.9399675500270417,0.8604651162790697,0.0,0.01
arm2,positive,0 2 4 8 9,117,toolace_balanced,0.805752511340941,0.5831062670299727,0.2016348773841962,0.01
arm2,positive,0 2 4 8 9,117,mean,0.8903763540666565,0.7581811427929762,0.2505578591290862,0.01
arm2,negative,1 3 5 6 7,87,anthropic_hh_balanced,0.9204459081140525,0.760053619302949,0.31970509383378015,0.01
arm2,negative,1 3 5 6 7,87,mt_balanced,0.8529340818385158,0.7251655629139073,0.0,0.01
arm2,negative,1 3 5 6 7,87,mts_balanced,0.9405083829096808,0.7674418604651163,0.0,0.01
arm2,negative,1 3 5 6 7,87,toolace_balanced,0.7600360831248283,0.5517711171662125,0.12534059945504086,0.01
arm2,negative,1 3 5 6 7,87,mean,0.8684811139967693,0.7011080399620462,0.11126142332220526,0.01
arm3,positive,0 1 5 6 9,156,anthropic_hh_balanced,0.956806497926385,0.8475201072386059,0.564343163538874,0.01
arm3,positive,0 1 5 6 9,156,mt_balanced,0.8624347616332617,0.7980132450331126,0.1291390728476821,0.01
arm3,positive,0 1 5 6 9,156,mts_balanced,0.9310438074634937,0.8837209302325582,0.0,0.01
arm3,positive,0 1 5 6 9,156,toolace_balanced,0.8559236463259806,0.5463215258855586,0.2506811989100817,0.01
arm3,positive,0 1 5 6 9,156,mean,0.9015521783372802,0.7688939520974588,0.23604085882415948,0.01
arm3,negative,2 3 4 7 8,90,anthropic_hh_balanced,0.8666118763881002,0.7771447721179625,0.339142091152815,0.01
arm3,negative,2 3 4 7 8,90,mt_balanced,0.8593208631200386,0.7781456953642384,0.0,0.01
arm3,negative,2 3 4 7 8,90,mts_balanced,0.9488912925905895,0.6511627906976745,0.0,0.01
arm3,negative,2 3 4 7 8,90,toolace_balanced,0.7550542360549115,0.5286103542234333,0.04904632152588556,0.01
arm3,negative,2 3 4 7 8,90,mean,0.8574695670384099,0.6837659031008272,0.09704710316967514,0.01
arm4,positive,0 2 3 6 9,149,anthropic_hh_balanced,0.9567094656757398,0.8907506702412868,0.6126005361930295,0.01
arm4,positive,0 2 3 6 9,149,mt_balanced,0.9559449146967238,0.8658940397350994,0.33112582781456956,0.01
arm4,positive,0 2 3 6 9,149,mts_balanced,0.9645754461871281,0.8604651162790697,0.0,0.01
arm4,positive,0 2 3 6 9,149,toolace_balanced,0.7631729391412809,0.5258855585831063,0.20708446866485014,0.01
arm4,positive,0 2 3 6 9,149,mean,0.9101006914252181,0.7857488462096406,0.2877027081681123,0.01
arm4,negative,1 4 5 7 8,101,anthropic_hh_balanced,0.7576248930848349,0.5750670241286864,0.0824396782841823,0.01
arm4,negative,1 4 5 7 8,101,mt_balanced,0.922388272444191,0.7814569536423841,0.2052980132450331,0.01
arm4,negative,1 4 5 7 8,101,mts_balanced,0.9031909140075717,0.6627906976744186,0.0,0.01
arm4,negative,1 4 5 7 8,101,toolace_balanced,0.7871429738137488,0.5149863760217984,0.16076294277929154,0.01
arm4,negative,1 4 5 7 8,101,mean,0.8425867633375865,0.6335752628668219,0.11212515857712674,0.01
arm5,positive,0 1 3 5 7 8,98,anthropic_hh_balanced,0.9623303732507241,0.8622654155495979,0.6085790884718498,0.01
arm5,positive,0 1 3 5 7 8,98,mt_balanced,0.9401561335029166,0.8410596026490066,0.48344370860927155,0.01
arm5,positive,0 1 3 5 7 8,98,mts_balanced,0.9937804218496485,0.9651162790697675,0.0,0.01
arm5,positive,0 1 3 5 7 8,98,toolace_balanced,0.8353317642866158,0.5967302452316077,0.2724795640326976,0.01
arm5,positive,0 1 3 5 7 8,98,mean,0.9328996732224762,0.8162928856249949,0.34112559027845474,0.01
arm5,negative,2 4 6 9,66,anthropic_hh_balanced,0.9392227716723329,0.7972520107238605,0.40281501340482573,0.01
arm5,negative,2 4 6 9,66,mt_balanced,0.8409389939037762,0.7268211920529801,0.13245033112582782,0.01
arm5,negative,2 4 6 9,66,mts_balanced,0.9643050297458086,0.7906976744186046,0.0,0.01
arm5,negative,2 4 6 9,66,toolace_balanced,0.8667040367067838,0.6198910081743869,0.3133514986376022,0.01
arm5,negative,2 4 6 9,66,mean,0.9027927080071754,0.7336654713424581,0.21215421079206392,0.01
arm6,positive,0 2 3 4 5 8 9,21,anthropic_hh_balanced,0.8576038245081903,0.6611930294906166,0.11528150134048257,0.01
arm6,positive,0 2 3 4 5 8 9,21,mt_balanced,0.9417240471909126,0.6258278145695364,0.0,0.01
arm6,positive,0 2 3 4 5 8 9,21,mts_balanced,0.9883720930232559,0.9418604651162791,0.0,0.01
arm6,positive,0 2 3 4 5 8 9,21,toolace_balanced,0.8553185486565347,0.5817438692098093,0.28065395095367845,0.01
arm6,positive,0 2 3 4 5 8 9,21,mean,0.9107546283447234,0.7026562945965603,0.09898386307354026,0.01
arm6,negative,1 6 7,8,anthropic_hh_balanced,0.9335214531118604,0.6980563002680965,0.3485254691689008,0.01
arm6,negative,1 6 7,8,mt_balanced,0.8617549668874173,0.7649006622516556,0.347682119205298,0.01
arm6,negative,1 6 7,8,mts_balanced,0.9396971335857219,0.5697674418604651,0.0,0.01
arm6,negative,1 6 7,8,toolace_balanced,0.8565064704615819,0.547683923705722,0.2615803814713896,0.01
arm6,negative,1 6 7,8,mean,0.8978700060116453,0.6451020820214848,0.2394469924613971,0.01
dev,arm1,full,0 1 2 3 4 5 6 7 8 9,279,anthropic_hh_balanced,0.9555935947933214,0.8917560321715817,0.4792225201072386,0.01
dev,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mt_balanced,0.8950539450024121,0.8178807947019867,0.0,0.01
dev,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mts_balanced,0.9353704705246079,0.9069767441860465,0.0,0.01
dev,arm1,full,0 1 2 3 4 5 6 7 8 9,279,toolace_balanced,0.8022592787829741,0.5694822888283378,0.20435967302452315,0.01
