packed deepseekv4pro: train 747 rows / 3.40 GB, val 181 rows / 0.79 GB, eval 866 rows / 0.81 GB (host)
  seed 59 pass 1/7  (30s/pass, 61m elapsed, 117m left)
  seed 59 pass 2/7  (30s/pass, 61m elapsed, 116m left)
  seed 59 pass 3/7  (30s/pass, 62m elapsed, 116m left)
  seed 59 pass 4/7  (30s/pass, 62m elapsed, 115m left)
  seed 59 pass 5/7  (30s/pass, 63m elapsed, 114m left)
  seed 59 pass 6/7  (30s/pass, 63m elapsed, 114m left)
  seed 59 pass 7/7  (30s/pass, 63m elapsed, 113m left)
  seed 60 pass 1/7  (30s/pass, 64m elapsed, 112m left)
  seed 60 pass 2/7  (30s/pass, 64m elapsed, 111m left)
  seed 60 pass 3/7  (30s/pass, 65m elapsed, 111m left)
  seed 60 pass 4/7  (30s/pass, 65m elapsed, 110m left)
  seed 60 pass 5/7  (30s/pass, 65m elapsed, 109m left)
  seed 60 pass 6/7  (30s/pass, 66m elapsed, 109m left)
  seed 60 pass 7/7  (30s/pass, 66m elapsed, 108m left)
  seed 61 pass 1/7  (30s/pass, 66m elapsed, 107m left)
  seed 61 pass 2/7  (30s/pass, 67m elapsed, 107m left)
  seed 61 pass 3/7  (30s/pass, 67m elapsed, 106m left)
  seed 61 pass 4/7  (30s/pass, 68m elapsed, 106m left)
  seed 61 pass 5/7  (30s/pass, 68m elapsed, 105m left)
  seed 61 pass 6/7  (30s/pass, 69m elapsed, 105m left)
  seed 61 pass 7/7  (30s/pass, 69m elapsed, 104m left)
  seed 62 pass 1/7  (30s/pass, 70m elapsed, 104m left)
  seed 62 pass 2/7  (30s/pass, 70m elapsed, 103m left)
  seed 62 pass 3/7  (30s/pass, 71m elapsed, 103m left)
  seed 62 pass 4/7  (30s/pass, 72m elapsed, 103m left)
  seed 62 pass 5/7  (30s/pass, 72m elapsed, 102m left)
  seed 62 pass 6/7  (30s/pass, 73m elapsed, 102m left)
  seed 62 pass 7/7  (30s/pass, 73m elapsed, 101m left)
  seed 63 pass 1/7  (30s/pass, 74m elapsed, 100m left)
