packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
  seed 44 pass 2/7  (18s/pass, 5m elapsed, 102m left)
  seed 44 pass 3/7  (19s/pass, 5m elapsed, 104m left)
  seed 44 pass 4/7  (19s/pass, 6m elapsed, 106m left)
  seed 44 pass 5/7  (19s/pass, 6m elapsed, 106m left)
  seed 44 pass 6/7  (19s/pass, 6m elapsed, 106m left)
  seed 44 pass 7/7  (19s/pass, 7m elapsed, 106m left)
  seed 45 pass 1/7  (19s/pass, 7m elapsed, 105m left)
  seed 45 pass 2/7  (19s/pass, 7m elapsed, 104m left)
  seed 45 pass 3/7  (19s/pass, 8m elapsed, 103m left)
  seed 45 pass 4/7  (19s/pass, 8m elapsed, 102m left)
  seed 45 pass 5/7  (19s/pass, 8m elapsed, 101m left)
  seed 45 pass 6/7  (19s/pass, 8m elapsed, 100m left)
  seed 45 pass 7/7  (19s/pass, 9m elapsed, 99m left)
  seed 46 pass 1/7  (18s/pass, 9m elapsed, 99m left)
  seed 46 pass 2/7  (18s/pass, 9m elapsed, 98m left)
  seed 46 pass 3/7  (18s/pass, 9m elapsed, 97m left)
  seed 46 pass 4/7  (18s/pass, 10m elapsed, 96m left)
  seed 46 pass 5/7  (18s/pass, 10m elapsed, 96m left)
  seed 46 pass 6/7  (18s/pass, 10m elapsed, 95m left)
  seed 46 pass 7/7  (18s/pass, 10m elapsed, 94m left)
  seed 47 pass 1/7  (18s/pass, 11m elapsed, 94m left)
  seed 47 pass 2/7  (18s/pass, 11m elapsed, 94m left)
  seed 47 pass 3/7  (18s/pass, 11m elapsed, 93m left)
  seed 47 pass 4/7  (18s/pass, 12m elapsed, 93m left)
  seed 47 pass 5/7  (18s/pass, 12m elapsed, 93m left)
  seed 47 pass 6/7  (18s/pass, 12m elapsed, 92m left)
  seed 47 pass 7/7  (18s/pass, 13m elapsed, 92m left)
  seed 48 pass 1/7  (18s/pass, 13m elapsed, 92m left)
  seed 48 pass 2/7  (18s/pass, 13m elapsed, 91m left)
  seed 48 pass 3/7  (18s/pass, 13m elapsed, 91m left)
  seed 48 pass 4/7  (18s/pass, 14m elapsed, 90m left)
  seed 48 pass 5/7  (18s/pass, 14m elapsed, 90m left)
  seed 48 pass 6/7  (18s/pass, 14m elapsed, 90m left)
  seed 48 pass 7/7  (18s/pass, 14m elapsed, 89m left)
  seed 49 pass 1/7  (18s/pass, 15m elapsed, 89m left)
  seed 49 pass 2/7  (18s/pass, 15m elapsed, 88m left)
  seed 49 pass 3/7  (18s/pass, 15m elapsed, 88m left)
  seed 49 pass 4/7  (18s/pass, 16m elapsed, 88m left)
  seed 49 pass 5/7  (18s/pass, 16m elapsed, 87m left)
  seed 49 pass 6/7  (18s/pass, 16m elapsed, 87m left)
  seed 49 pass 7/7  (18s/pass, 16m elapsed, 86m left)
  seed 50 pass 1/7  (18s/pass, 17m elapsed, 87m left)
  seed 50 pass 2/7  (18s/pass, 17m elapsed, 88m left)
  seed 50 pass 3/7  (18s/pass, 18m elapsed, 88m left)
  seed 50 pass 4/7  (18s/pass, 18m elapsed, 89m left)
  seed 50 pass 5/7  (19s/pass, 19m elapsed, 90m left)
  seed 50 pass 6/7  (19s/pass, 19m elapsed, 90m left)
  seed 50 pass 7/7  (19s/pass, 20m elapsed, 90m left)
  seed 51 pass 1/7  (19s/pass, 20m elapsed, 90m left)
  seed 51 pass 2/7  (19s/pass, 20m elapsed, 89m left)
  seed 51 pass 3/7  (19s/pass, 21m elapsed, 89m left)
  seed 51 pass 4/7  (19s/pass, 21m elapsed, 89m left)
  seed 51 pass 5/7  (19s/pass, 21m elapsed, 88m left)
  seed 51 pass 6/7  (19s/pass, 22m elapsed, 88m left)
  seed 51 pass 7/7  (19s/pass, 22m elapsed, 87m left)
  seed 52 pass 1/7  (19s/pass, 22m elapsed, 87m left)
  seed 52 pass 2/7  (19s/pass, 23m elapsed, 87m left)
  seed 52 pass 3/7  (19s/pass, 23m elapsed, 87m left)
  seed 52 pass 4/7  (19s/pass, 23m elapsed, 86m left)
  seed 52 pass 5/7  (19s/pass, 23m elapsed, 86m left)
  seed 52 pass 6/7  (19s/pass, 24m elapsed, 86m left)
  seed 52 pass 7/7  (19s/pass, 24m elapsed, 86m left)
  seed 53 pass 1/7  (19s/pass, 24m elapsed, 85m left)
  seed 53 pass 2/7  (19s/pass, 25m elapsed, 85m left)
  seed 53 pass 3/7  (19s/pass, 25m elapsed, 85m left)
  seed 53 pass 4/7  (19s/pass, 25m elapsed, 84m left)
  seed 53 pass 5/7  (19s/pass, 26m elapsed, 84m left)
  seed 53 pass 6/7  (19s/pass, 26m elapsed, 84m left)
  seed 53 pass 7/7  (19s/pass, 26m elapsed, 83m left)
  seed 54 pass 1/7  (19s/pass, 27m elapsed, 83m left)
  seed 54 pass 2/7  (19s/pass, 27m elapsed, 82m left)
  seed 54 pass 3/7  (19s/pass, 27m elapsed, 82m left)
  seed 54 pass 4/7  (19s/pass, 27m elapsed, 82m left)
  seed 54 pass 5/7  (19s/pass, 28m elapsed, 81m left)
  seed 54 pass 6/7  (19s/pass, 28m elapsed, 81m left)
  seed 54 pass 7/7  (19s/pass, 28m elapsed, 80m left)
  seed 55 pass 1/7  (19s/pass, 29m elapsed, 80m left)
  seed 55 pass 2/7  (19s/pass, 29m elapsed, 80m left)
  seed 55 pass 3/7  (19s/pass, 29m elapsed, 79m left)
  seed 55 pass 4/7  (19s/pass, 29m elapsed, 79m left)
  seed 55 pass 5/7  (19s/pass, 30m elapsed, 79m left)
  seed 55 pass 6/7  (19s/pass, 30m elapsed, 78m left)
  seed 55 pass 7/7  (19s/pass, 30m elapsed, 78m left)
  seed 56 pass 1/7  (19s/pass, 31m elapsed, 78m left)
  seed 56 pass 2/7  (19s/pass, 31m elapsed, 78m left)
  seed 56 pass 3/7  (19s/pass, 31m elapsed, 77m left)
  seed 56 pass 4/7  (19s/pass, 32m elapsed, 77m left)
  seed 56 pass 5/7  (19s/pass, 32m elapsed, 77m left)
  seed 56 pass 6/7  (19s/pass, 32m elapsed, 77m left)
  seed 56 pass 7/7  (19s/pass, 33m elapsed, 77m left)
  seed 57 pass 1/7  (19s/pass, 33m elapsed, 76m left)
  seed 57 pass 2/7  (19s/pass, 33m elapsed, 76m left)
  seed 57 pass 3/7  (19s/pass, 34m elapsed, 75m left)
  seed 57 pass 4/7  (19s/pass, 34m elapsed, 75m left)
  seed 57 pass 5/7  (19s/pass, 34m elapsed, 75m left)
  seed 57 pass 6/7  (19s/pass, 35m elapsed, 74m left)
  seed 57 pass 7/7  (19s/pass, 35m elapsed, 74m left)
  seed 58 pass 1/7  (19s/pass, 35m elapsed, 73m left)
  seed 58 pass 2/7  (19s/pass, 35m elapsed, 73m left)
  seed 58 pass 3/7  (19s/pass, 36m elapsed, 73m left)
  seed 58 pass 4/7  (19s/pass, 36m elapsed, 72m left)
  seed 58 pass 5/7  (18s/pass, 36m elapsed, 72m left)
  seed 58 pass 6/7  (18s/pass, 36m elapsed, 71m left)
  seed 58 pass 7/7  (18s/pass, 37m elapsed, 71m left)
  seed 59 pass 1/7  (18s/pass, 37m elapsed, 71m left)
  seed 59 pass 2/7  (18s/pass, 37m elapsed, 70m left)
  seed 59 pass 3/7  (18s/pass, 37m elapsed, 70m left)
  seed 59 pass 4/7  (18s/pass, 38m elapsed, 70m left)
  seed 59 pass 5/7  (18s/pass, 38m elapsed, 69m left)
  seed 59 pass 6/7  (18s/pass, 38m elapsed, 69m left)
  seed 59 pass 7/7  (18s/pass, 39m elapsed, 69m left)
  seed 60 pass 1/7  (18s/pass, 39m elapsed, 68m left)
  seed 60 pass 2/7  (18s/pass, 39m elapsed, 68m left)
  seed 60 pass 3/7  (18s/pass, 39m elapsed, 68m left)
  seed 60 pass 4/7  (18s/pass, 40m elapsed, 67m left)
  seed 60 pass 5/7  (18s/pass, 40m elapsed, 67m left)
  seed 60 pass 6/7  (18s/pass, 40m elapsed, 67m left)
  seed 60 pass 7/7  (18s/pass, 41m elapsed, 66m left)
  seed 61 pass 1/7  (18s/pass, 41m elapsed, 66m left)
  seed 61 pass 2/7  (18s/pass, 41m elapsed, 66m left)
  seed 61 pass 3/7  (18s/pass, 42m elapsed, 66m left)
  seed 61 pass 4/7  (18s/pass, 42m elapsed, 65m left)
  seed 61 pass 5/7  (18s/pass, 42m elapsed, 65m left)
  seed 61 pass 6/7  (18s/pass, 43m elapsed, 65m left)
  seed 61 pass 7/7  (18s/pass, 43m elapsed, 64m left)
  seed 62 pass 1/7  (18s/pass, 43m elapsed, 64m left)
  seed 62 pass 2/7  (18s/pass, 44m elapsed, 64m left)
  seed 62 pass 3/7  (19s/pass, 44m elapsed, 64m left)
  seed 62 pass 4/7  (19s/pass, 45m elapsed, 64m left)
  seed 62 pass 5/7  (19s/pass, 45m elapsed, 64m left)
  seed 62 pass 6/7  (19s/pass, 45m elapsed, 63m left)
  seed 62 pass 7/7  (19s/pass, 46m elapsed, 63m left)
